model,layer,head,correct,total,accuracy
gpt2,5,11,127952,1190082,0.10751528292894363
gpt2,6,0,156125,1190082,0.13118843734264374
gpt2,6,1,175250,1190082,0.14725875854492188
gpt2,6,2,133427,1190082,0.11211580038070679
gpt2,6,3,139217,1190082,0.11698101460933685
gpt2,6,4,116558,1190082,0.09794115275144577
gpt2,6,5,98199,1190082,0.08251447975635529
gpt2,6,6,122127,1190082,0.10262066125869751
gpt2,6,7,142658,1190082,0.11987241357564926
gpt2,6,8,154792,1190082,0.1300683468580246
gpt2,6,9,217166,1190082,0.1824798583984375
gpt2,6,10,96132,1190082,0.08077763020992279
gpt2,6,11,139622,1190082,0.11732132732868195
gpt2,7,0,111970,1190082,0.09408595412969589
gpt2,7,1,93880,1190082,0.07888531684875488
gpt2,7,2,172627,1190082,0.14505471289157867
gpt2,7,3,92865,1190082,0.07803244143724442
gpt2,7,4,126462,1190082,0.10626326501369476
gpt2,7,5,189830,1190082,0.15951001644134521
gpt2,7,6,106753,1190082,0.08970221877098083
gpt2,7,7,98712,1190082,0.08294554799795151
gpt2,7,8,312656,1190082,0.2627180218696594
gpt2,7,9,103718,1190082,0.08715197443962097
gpt2,7,10,135069,1190082,0.11349554359912872
gpt2,7,11,91896,1190082,0.07721821218729019
gpt2,8,0,107711,1190082,0.09050720930099487
gpt2,8,1,353511,1190082,0.29704758524894714
gpt2,8,2,211330,1190082,0.1775760054588318
gpt2,8,3,257575,1190082,0.21643467247486115
gpt2,8,4,103222,1190082,0.08673519641160965
gpt2,8,5,104542,1190082,0.0878443643450737
gpt2,8,6,144561,1190082,0.12147146463394165
gpt2,8,7,150776,1190082,0.12669378519058228
gpt2,8,8,107857,1190082,0.09062989056110382
gpt2,8,9,121664,1190082,0.10223161429166794
gpt2,8,10,179435,1190082,0.15077532827854156
gpt2,8,11,132126,1190082,0.11102259904146194
gpt2,9,0,128785,1190082,0.10821523517370224
gpt2,9,1,111121,1190082,0.09337256103754044
gpt2,9,2,107069,1190082,0.0899677500128746
gpt2,9,3,97149,1190082,0.08163218945264816
gpt2,9,4,96879,1190082,0.08140531182289124
gpt2,9,5,190621,1190082,0.1601746827363968
gpt2,9,6,104473,1190082,0.08778639137744904
gpt2,9,7,72240,1190082,0.06070169806480408
gpt2,9,8,90385,1190082,0.0759485512971878
gpt2,9,9,116705,1190082,0.09806466847658157
gpt2,9,10,103287,1190082,0.0867898166179657
gpt2,9,11,108996,1190082,0.09158696979284286
gpt2,10,0,123204,1190082,0.10352563858032227
gpt2,10,1,62873,1190082,0.052830811589956284
gpt2,10,2,104973,1190082,0.08820652961730957
gpt2,10,3,132307,1190082,0.11117469519376755
gpt2,10,4,75399,1190082,0.06335613876581192
gpt2,10,5,86459,1190082,0.07264961302280426
gpt2,10,6,129303,1190082,0.10865049809217453
gpt2,10,7,207600,1190082,0.17444175481796265
gpt2,10,8,129115,1190082,0.10849252343177795
gpt2,10,9,113450,1190082,0.09532956779003143
gpt2,10,10,83110,1190082,0.06983552128076553
gpt2,10,11,125604,1190082,0.10554230958223343
gpt2,11,0,89711,1190082,0.07538220286369324
gpt2,11,1,99305,1190082,0.08344382792711258
gpt2,11,2,127858,1190082,0.10743629187345505
gpt2,11,3,85440,1190082,0.07179336994886398
gpt2,11,4,114246,1190082,0.09599842876195908
gpt2,11,5,70011,1190082,0.05882871896028519
gpt2,11,6,113634,1190082,0.0954841747879982
gpt2,11,7,95570,1190082,0.08030539005994797
gpt2,11,8,99845,1190082,0.08389758318662643
gpt2,11,9,88981,1190082,0.0747687965631485
gpt2,11,10,89394,1190082,0.07511582970619202
gpt2,11,11,77640,1190082,0.06523919850587845
