lg,item,syn,sentence,condition,headn,attn,verbn
turkish,11,0,psikiyatristin eczacısı aç susuz dolaştı,condition_d,sg,sg,sg
turkish,12,0,politikacıların hocası adliyeden çabucak çıktılar,condition_a,sg,pl,pl
turkish,12,0,politikacıların hocası adliyeden çabucak çıktı,condition_b,sg,pl,sg
turkish,12,0,politikacının hocası adliyeden çabucak çıktılar,condition_c,sg,sg,pl
turkish,12,0,politikacının hocası adliyeden çabucak çıktı,condition_d,sg,sg,sg
turkish,13,0,hakimlerin çaycısı nedensiz yere kızdılar,condition_a,sg,pl,pl
turkish,13,0,hakimlerin çaycısı nedensiz yere kızdı,condition_b,sg,pl,sg
turkish,13,0,hakimin çaycısı nedensiz yere kızdılar,condition_c,sg,sg,pl
turkish,13,0,hakimin çaycısı nedensiz yere kızdı,condition_d,sg,sg,sg
turkish,14,0,oyuncuların hemşiresi etrafta amaçsızca gezdiler,condition_a,sg,pl,pl
turkish,14,0,oyuncuların hemşiresi etrafta amaçsızca gezdi,condition_b,sg,pl,sg
turkish,14,0,oyuncunun hemşiresi etrafta amaçsızca gezdiler,condition_c,sg,sg,pl
turkish,14,0,oyuncunun hemşiresi etrafta amaçsızca gezdi,condition_d,sg,sg,sg
turkish,15,0,öğretmenlerin müdiresi biraz önce aradılar,condition_a,sg,pl,pl
turkish,15,0,öğretmenlerin müdiresi biraz önce aradı,condition_b,sg,pl,sg
turkish,15,0,öğretmenin müdiresi biraz önce aradılar,condition_c,sg,sg,pl
turkish,15,0,öğretmenin müdiresi biraz önce aradı,condition_d,sg,sg,sg
turkish,16,0,milyonerlerin terzisi tamamen gereksizce bağırdılar,condition_a,sg,pl,pl
turkish,16,0,milyonerlerin terzisi tamamen gereksizce bağırdı,condition_b,sg,pl,sg
turkish,16,0,milyonerin terzisi tamamen gereksizce bağırdılar,condition_c,sg,sg,pl
turkish,16,0,milyonerin terzisi tamamen gereksizce bağırdı,condition_d,sg,sg,sg
turkish,17,0,bebeklerin bakıcısı çok kibar davrandılar,condition_a,sg,pl,pl
turkish,17,0,bebeklerin bakıcısı çok kibar davrandı,condition_b,sg,pl,sg
turkish,17,0,bebeğin bakıcısı çok kibar davrandılar,condition_c,sg,sg,pl
turkish,17,0,bebeğin bakıcısı çok kibar davrandı,condition_d,sg,sg,sg
turkish,18,0,çocukların dadısı yüksek sesle konuştular,condition_a,sg,pl,pl
turkish,18,0,çocukların dadısı yüksek sesle konuştu,condition_b,sg,pl,sg
turkish,18,0,çocuğun dadısı yüksek sesle konuştular,condition_c,sg,sg,pl
turkish,18,0,çocuğun dadısı yüksek sesle konuştu,condition_d,sg,sg,sg
turkish,19,0,futbolcuların sürücüsü çok yavaş çalıştılar,condition_a,sg,pl,pl
turkish,19,0,futbolcuların sürücüsü çok yavaş çalıştı,condition_b,sg,pl,sg
turkish,19,0,futbolcunun sürücüsü çok yavaş çalıştılar,condition_c,sg,sg,pl
turkish,19,0,futbolcunun sürücüsü çok yavaş çalıştı,condition_d,sg,sg,sg
turkish,20,0,modacıların taksicisi saatlerce durmaksızın içtiler,condition_a,sg,pl,pl
turkish,20,0,modacıların taksicisi saatlerce durmaksızın içti,condition_b,sg,pl,sg
turkish,20,0,modacının taksicisi saatlerce durmaksızın içtiler,condition_c,sg,sg,pl
turkish,20,0,modacının taksicisi saatlerce durmaksızın içti,condition_d,sg,sg,sg
turkish,21,0,sanatçıların çalgıcısı feci bir şekilde öldüler,condition_a,sg,pl,pl
turkish,21,0,sanatçıların çalgıcısı feci bir şekilde öldü,condition_b,sg,pl,sg
turkish,21,0,sanatçının çalgıcısı feci bir şekilde öldüler,condition_c,sg,sg,pl
turkish,21,0,sanatçının çalgıcısı feci bir şekilde öldü,condition_d,sg,sg,sg
turkish,22,0,dedektiflerin dişçisi ilk kez çılgınca eğlendiler,condition_a,sg,pl,pl
turkish,22,0,dedektiflerin dişçisi ilk kez çılgınca eğlendi,condition_b,sg,pl,sg
turkish,22,0,dedektifin dişçisi ilk kez çılgınca eğlendiler,condition_c,sg,sg,pl
turkish,22,0,dedektifin dişçisi ilk kez çılgınca eğlendi,condition_d,sg,sg,sg
turkish,23,0,esnafların müşterisi şikayettten hemen sonra sustular,condition_a,sg,pl,pl
turkish,23,0,esnafların müşterisi şikayettten hemen sonra sustu,condition_b,sg,pl,sg
turkish,23,0,esnafın müşterisi şikayettten hemen sonra sustular,condition_c,sg,sg,pl
turkish,23,0,esnafın müşterisi şikayettten hemen sonra sustu,condition_d,sg,sg,sg
turkish,24,0,şarkıcıların koruması her zamanki gibi geciktiler,condition_a,sg,pl,pl
turkish,24,0,şarkıcıların koruması her zamanki gibi gecikti,condition_b,sg,pl,sg
turkish,24,0,şarkıcının koruması her zamanki gibi geciktiler,condition_c,sg,sg,pl
turkish,24,0,şarkıcının koruması her zamanki gibi gecikti,condition_d,sg,sg,sg
turkish,25,0,göstericilerin izleyicisi akşama kadar sessizce oturdular,condition_a,sg,pl,pl
turkish,25,0,göstericilerin izleyicisi akşama kadar sessizce oturdu,condition_b,sg,pl,sg
turkish,25,0,göstericinin izleyicisi akşama kadar sessizce oturdular,condition_c,sg,sg,pl
turkish,25,0,göstericinin izleyicisi akşama kadar sessizce oturdu,condition_d,sg,sg,sg
turkish,26,0,cerrahların hastası akşamki gösteriden önce kaçtılar,condition_a,sg,pl,pl
turkish,26,0,cerrahların hastası akşamki gösteriden önce kaçtı,condition_b,sg,pl,sg
turkish,26,0,cerrahın hastası akşamki gösteriden önce kaçtılar,condition_c,sg,sg,pl
turkish,26,0,cerrahın hastası akşamki gösteriden önce kaçtı,condition_d,sg,sg,sg
turkish,27,0,dalgıçların annesi bile bile geç kaldılar,condition_a,sg,pl,pl
turkish,27,0,dalgıçların annesi bile bile geç kaldı,condition_b,sg,pl,sg
turkish,27,0,dalgıcın annesi bile bile geç kaldılar,condition_c,sg,sg,pl
turkish,27,0,dalgıcın annesi bile bile geç kaldı,condition_d,sg,sg,sg
turkish,28,0,fabrikatörlerin işçisi beklenmedik bir anda hastalandılar,condition_a,sg,pl,pl
turkish,28,0,fabrikatörlerin işçisi beklenmedik bir anda hastalandı,condition_b,sg,pl,sg
turkish,28,0,fabrikatörün işçisi beklenmedik bir anda hastalandılar,condition_c,sg,sg,pl
turkish,28,0,fabrikatörün işçisi beklenmedik bir anda hastalandı,condition_d,sg,sg,sg
turkish,29,0,komedyenlerin yardımcısı poyrazdan dolayı üşüdüler,condition_a,sg,pl,pl
turkish,29,0,komedyenlerin yardımcısı poyrazdan dolayı üşüdü,condition_b,sg,pl,sg
turkish,29,0,komedyenin yardımcısı poyrazdan dolayı üşüdüler,condition_c,sg,sg,pl
turkish,29,0,komedyenin yardımcısı poyrazdan dolayı üşüdü,condition_d,sg,sg,sg
turkish,30,0,şoförlerin yolcusu yemekten sonra yine acıktılar,condition_a,sg,pl,pl
turkish,30,0,şoförlerin yolcusu yemekten sonra yine acıktı,condition_b,sg,pl,sg
turkish,30,0,şoförün yolcusu yemekten sonra yine acıktılar,condition_c,sg,sg,pl
turkish,30,0,şoförün yolcusu yemekten sonra yine acıktı,condition_d,sg,sg,sg
turkish,31,0,mühendislerin kapıcısı erken ödemeden dolayı sevindiler,condition_a,sg,pl,pl
turkish,31,0,mühendislerin kapıcısı erken ödemeden dolayı sevindi,condition_b,sg,pl,sg
turkish,31,0,mühendisin kapıcısı erken ödemeden dolayı sevindiler,condition_c,sg,sg,pl
turkish,31,0,mühendisin kapıcısı erken ödemeden dolayı sevindi,condition_d,sg,sg,sg
turkish,32,0,pazarcıların nakliyecisi mesaiden hemen sonra uzandılar,condition_a,sg,pl,pl
turkish,32,0,pazarcıların nakliyecisi mesaiden hemen sonra uzandı,condition_b,sg,pl,sg
turkish,32,0,pazarcının nakliyecisi mesaiden hemen sonra uzandılar,condition_c,sg,sg,pl
turkish,32,0,pazarcının nakliyecisi mesaiden hemen sonra uzandı,condition_d,sg,sg,sg
turkish,33,0,oyuncuların eğitimcisi ilk denemede epey zorlandılar,condition_a,sg,pl,pl
turkish,33,0,oyuncuların eğitimcisi ilk denemede epey zorlandı,condition_b,sg,pl,sg
turkish,33,0,oyuncunun eğitimcisi ilk denemede epey zorlandılar,condition_c,sg,sg,pl
turkish,33,0,oyuncunun eğitimcisi ilk denemede epey zorlandı,condition_d,sg,sg,sg
turkish,34,0,mankenlerin modacısı geç bir vakitte kalktılar,condition_a,sg,pl,pl
turkish,34,0,mankenlerin modacısı geç bir vakitte kalktı,condition_b,sg,pl,sg
turkish,34,0,mankenin modacısı geç bir vakitte kalktılar,condition_c,sg,sg,pl
turkish,34,0,mankenin modacısı geç bir vakitte kalktı,condition_d,sg,sg,sg
turkish,35,0,konukların teyzesi müthiş bir ağrıyla uyandılar,condition_a,sg,pl,pl
turkish,35,0,konukların teyzesi müthiş bir ağrıyla uyandı,condition_b,sg,pl,sg
turkish,35,0,konuğun teyzesi müthiş bir ağrıyla uyandılar,condition_c,sg,sg,pl
turkish,35,0,konuğun teyzesi müthiş bir ağrıyla uyandı,condition_d,sg,sg,sg
turkish,36,0,oğlanların amcası boş bir caddede yürüdüler,condition_a,sg,pl,pl
turkish,36,0,oğlanların amcası boş bir caddede yürüdü,condition_b,sg,pl,sg
turkish,36,0,oğlanın amcası boş bir caddede yürüdüler,condition_c,sg,sg,pl
turkish,36,0,oğlanın amcası boş bir caddede yürüdü,condition_d,sg,sg,sg
turkish,37,0,avukatların komşusu toplantıdan sonra birden sarardılar,condition_a,sg,pl,pl
turkish,37,0,avukatların komşusu toplantıdan sonra birden sarardı,condition_b,sg,pl,sg
turkish,37,0,avukatın komşusu toplantıdan sonra birden sarardılar,condition_c,sg,sg,pl
turkish,37,0,avukatın komşusu toplantıdan sonra birden sarardı,condition_d,sg,sg,sg
turkish,38,0,ünlülerin falcısı yabancı bir ülkede kayboldular,condition_a,sg,pl,pl
turkish,38,0,ünlülerin falcısı yabancı bir ülkede kayboldu,condition_b,sg,pl,sg
turkish,38,0,ünlünün falcısı yabancı bir ülkede kayboldular,condition_c,sg,sg,pl
turkish,38,0,ünlünün falcısı yabancı bir ülkede kayboldu,condition_d,sg,sg,sg
turkish,39,0,çiftçilerin bekçisi normalden çok yavaş gezindiler,condition_a,sg,pl,pl
turkish,39,0,çiftçilerin bekçisi normalden çok yavaş gezindi,condition_b,sg,pl,sg
turkish,39,0,çiftçinin bekçisi normalden çok yavaş gezindiler,condition_c,sg,sg,pl
turkish,39,0,çiftçinin bekçisi normalden çok yavaş gezindi,condition_d,sg,sg,sg
turkish,40,0,kadınların ninesi geçen seneye göre dinçleştiler,condition_a,sg,pl,pl
turkish,40,0,kadınların ninesi geçen seneye göre dinçleşti,condition_b,sg,pl,sg
turkish,40,0,kadının ninesi geçen seneye göre dinçleştiler,condition_c,sg,sg,pl
turkish,40,0,kadının ninesi geçen seneye göre dinçleşti,condition_d,sg,sg,sg
turkish,1,1,Şarkıcıların vokalisti sahnede sürekli zıpladılar,condition_a,sg,pl,pl
turkish,1,1,Şarkıcıların vokalisti sahnede sürekli zıpladı,condition_b,sg,pl,sg
turkish,1,1,Şarkıcının vokalisti sahnede sürekli zıpladılar,condition_c,sg,sg,pl
turkish,1,1,Şarkıcının vokalisti sahnede sürekli zıpladı,condition_d,sg,sg,sg
turkish,2,1,Öğrencilerin danışmanı sınıfta birden bayıldılar,condition_a,sg,pl,pl
turkish,2,1,Öğrencilerin danışmanı sınıfta birden bayıldı,condition_b,sg,pl,sg
turkish,2,1,Öğrencinin danışmanı sınıfta birden bayıldılar,condition_c,sg,sg,pl
turkish,2,1,Öğrencinin danışmanı sınıfta birden bayıldı,condition_d,sg,sg,sg
turkish,3,1,Ressamların rakibi atölyeden hızla uzaklaştılar,condition_a,sg,pl,pl
turkish,3,1,Ressamların rakibi atölyeden hızla uzaklaştı,condition_b,sg,pl,sg
turkish,3,1,Ressamın rakibi atölyeden hızla uzaklaştılar,condition_c,sg,sg,pl
turkish,3,1,Ressamın rakibi atölyeden hızla uzaklaştı,condition_d,sg,sg,sg
turkish,4,1,Subayların düşmanı aniden küstahça güldülar,condition_a,sg,pl,pl
turkish,4,1,Subayların düşmanı aniden küstahça güldü,condition_b,sg,pl,sg
turkish,4,1,Subayın düşmanı aniden küstahça güldülar,condition_c,sg,sg,pl
turkish,4,1,Subayın düşmanı aniden küstahça güldü,condition_d,sg,sg,sg
turkish,5,1,Müzisyenlerin hayranı sabaha kadar ağladılar,condition_a,sg,pl,pl
turkish,5,1,Müzisyenlerin hayranı sabaha kadar ağladı,condition_b,sg,pl,sg
turkish,5,1,Müzisyenin hayranı sabaha kadar ağladılar,condition_c,sg,sg,pl
turkish,5,1,Müzisyenin hayranı sabaha kadar ağladı,condition_d,sg,sg,sg
turkish,6,1,Borsacıların çalışanı arada sırada sıkıldılar,condition_a,sg,pl,pl
turkish,6,1,Borsacıların çalışanı arada sırada sıkıldı,condition_b,sg,pl,sg
turkish,6,1,Borsacının çalışanı arada sırada sıkıldılar,condition_c,sg,sg,pl
turkish,6,1,Borsacının çalışanı arada sırada sıkıldı,condition_d,sg,sg,sg
turkish,7,1,Profesörlerin sekreteri günden güne zayıfladılar,condition_a,sg,pl,pl
turkish,7,1,Profesörlerin sekreteri günden güne zayıfladı,condition_b,sg,pl,sg
turkish,7,1,Profesörün sekreteri günden güne zayıfladılar,condition_c,sg,sg,pl
turkish,7,1,Profesörün sekreteri günden güne zayıfladı,condition_d,sg,sg,sg
turkish,8,1,Veterinerlerin asistanı geceden önce uyudular,condition_a,sg,pl,pl
turkish,8,1,Veterinerlerin asistanı geceden önce uyudu,condition_b,sg,pl,sg
turkish,8,1,Veterinerin asistanı geceden önce uyudular,condition_c,sg,sg,pl
turkish,8,1,Veterinerin asistanı geceden önce uyudu,condition_d,sg,sg,sg
turkish,9,1,Yönetmenlerin masörü yorgun argın yattılar,condition_a,sg,pl,pl
turkish,9,1,Yönetmenlerin masörü yorgun argın yattı,condition_b,sg,pl,sg
turkish,9,1,Yönetmenin masörü yorgun argın yattılar,condition_c,sg,sg,pl
turkish,9,1,Yönetmenin masörü yorgun argın yattı,condition_d,sg,sg,sg
turkish,10,1,Teknisyenlerin eğitmeni olağanüstü hızlı koştular,condition_a,sg,pl,pl
turkish,10,1,Teknisyenlerin eğitmeni olağanüstü hızlı koştu,condition_b,sg,pl,sg
turkish,10,1,Teknisyenin eğitmeni olağanüstü hızlı koştular,condition_c,sg,sg,pl
turkish,10,1,Teknisyenin eğitmeni olağanüstü hızlı koştu,condition_d,sg,sg,sg
turkish,11,1,Turistlerin rehberi aç susuz dolaştılar,condition_a,sg,pl,pl
turkish,11,1,Turistlerin rehberi aç susuz dolaştı,condition_b,sg,pl,sg
turkish,11,1,Turistin rehberi aç susuz dolaştılar,condition_c,sg,sg,pl
turkish,11,1,Turistin rehberi aç susuz dolaştı,condition_d,sg,sg,sg
turkish,12,1,Zanlıların şahidi adliyeden çabucak çıktılar,condition_a,sg,pl,pl
turkish,12,1,Zanlıların şahidi adliyeden çabucak çıktı,condition_b,sg,pl,sg
turkish,12,1,Zanlının şahidi adliyeden çabucak çıktılar,condition_c,sg,sg,pl
turkish,12,1,Zanlının şahidi adliyeden çabucak çıktı,condition_d,sg,sg,sg
turkish,13,1,Bursiyerlerin kefili nedensiz yere kızdılar,condition_a,sg,pl,pl
turkish,13,1,Bursiyerlerin kefili nedensiz yere kızdı,condition_b,sg,pl,sg
turkish,13,1,Bursiyerin kefili nedensiz yere kızdılar,condition_c,sg,sg,pl
turkish,13,1,Bursiyerin kefili nedensiz yere kızdı,condition_d,sg,sg,sg
turkish,14,1,Futbolcuların kaptanı etrafta amaçsızca gezdilar,condition_a,sg,pl,pl
turkish,14,1,Futbolcuların kaptanı etrafta amaçsızca gezdi,condition_b,sg,pl,sg
turkish,14,1,Futbolcunun kaptanı etrafta amaçsızca gezdilar,condition_c,sg,sg,pl
turkish,14,1,Futbolcunun kaptanı etrafta amaçsızca gezdi,condition_d,sg,sg,sg
turkish,15,1,Yazarların editörü biraz önce aradılar,condition_a,sg,pl,pl
turkish,15,1,Yazarların editörü biraz önce aradı,condition_b,sg,pl,sg
turkish,15,1,Yazarın editörü biraz önce aradılar,condition_c,sg,sg,pl
turkish,15,1,Yazarın editörü biraz önce aradı,condition_d,sg,sg,sg
turkish,16,1,Askerlerin berberi tamamen gereksizce bağırdılar,condition_a,sg,pl,pl
turkish,16,1,Askerlerin berberi tamamen gereksizce bağırdı,condition_b,sg,pl,sg
turkish,16,1,Askerin berberi tamamen gereksizce bağırdılar,condition_c,sg,sg,pl
turkish,16,1,Askerin berberi tamamen gereksizce bağırdı,condition_d,sg,sg,sg
turkish,17,1,Yarışmacıların koçu çok kibar davrandılar,condition_a,sg,pl,pl
turkish,17,1,Yarışmacıların koçu çok kibar davrandı,condition_b,sg,pl,sg
turkish,17,1,Yarışmacının koçu çok kibar davrandılar,condition_c,sg,sg,pl
turkish,17,1,Yarışmacının koçu çok kibar davrandı,condition_d,sg,sg,sg
turkish,18,1,Sporcuların antrenörü yüksek sesle konuştular,condition_a,sg,pl,pl
turkish,18,1,Sporcuların antrenörü yüksek sesle konuştu,condition_b,sg,pl,sg
turkish,18,1,Sporcunun antrenörü yüksek sesle konuştular,condition_c,sg,sg,pl
turkish,18,1,Sporcunun antrenörü yüksek sesle konuştu,condition_d,sg,sg,sg
turkish,19,1,Berberlerin çırağı çok yavaş çalıştılar,condition_a,sg,pl,pl
turkish,19,1,Berberlerin çırağı çok yavaş çalıştı,condition_b,sg,pl,sg
turkish,19,1,Berberin çırağı çok yavaş çalıştılar,condition_c,sg,sg,pl
turkish,19,1,Berberin çırağı çok yavaş çalıştı,condition_d,sg,sg,sg
turkish,20,1,Muhabirlerin patronu saatlerce durmaksızın içtilar,condition_a,sg,pl,pl
turkish,20,1,Muhabirlerin patronu saatlerce durmaksızın içti,condition_b,sg,pl,sg
turkish,20,1,Muhabirin patronu saatlerce durmaksızın içtilar,condition_c,sg,sg,pl
turkish,20,1,Muhabirin patronu saatlerce durmaksızın içti,condition_d,sg,sg,sg
turkish,21,1,Oyuncuların dublörü feci bir şekilde öldülar,condition_a,sg,pl,pl
turkish,21,1,Oyuncuların dublörü feci bir şekilde öldü,condition_b,sg,pl,sg
turkish,21,1,Oyuncunun dublörü feci bir şekilde öldülar,condition_c,sg,sg,pl
turkish,21,1,Oyuncunun dublörü feci bir şekilde öldü,condition_d,sg,sg,sg
turkish,22,1,Sunucuların kuaförü ilk kez çılgınca eğlendilar,condition_a,sg,pl,pl
turkish,22,1,Sunucuların kuaförü ilk kez çılgınca eğlendi,condition_b,sg,pl,sg
turkish,22,1,Sunucunun kuaförü ilk kez çılgınca eğlendilar,condition_c,sg,sg,pl
turkish,22,1,Sunucunun kuaförü ilk kez çılgınca eğlendi,condition_d,sg,sg,sg
turkish,23,1,Garsonların şefi şikayetten hemen sonra sustular,condition_a,sg,pl,pl
turkish,23,1,Garsonların şefi şikayetten hemen sonra sustu,condition_b,sg,pl,sg
turkish,23,1,Garsonun şefi şikayetten hemen sonra sustular,condition_c,sg,sg,pl
turkish,23,1,Garsonun şefi şikayetten hemen sonra sustu,condition_d,sg,sg,sg
turkish,24,1,Noterlerin şoförü her zamanki gibi geciktilar,condition_a,sg,pl,pl
turkish,24,1,Noterlerin şoförü her zamanki gibi gecikti,condition_b,sg,pl,sg
turkish,24,1,Noterin şoförü her zamanki gibi geciktilar,condition_c,sg,sg,pl
turkish,24,1,Noterin şoförü her zamanki gibi gecikti,condition_d,sg,sg,sg
turkish,25,1,Tenisçilerin terapisti akşama kadar sessizce oturdular,condition_a,sg,pl,pl
turkish,25,1,Tenisçilerin terapisti akşama kadar sessizce oturdu,condition_b,sg,pl,sg
turkish,25,1,Tenisçinin terapisti akşama kadar sessizce oturdular,condition_c,sg,sg,pl
turkish,25,1,Tenisçinin terapisti akşama kadar sessizce oturdu,condition_d,sg,sg,sg
turkish,26,1,Mankenlerin menajeri akşamki gösteriden önce kaçtılar,condition_a,sg,pl,pl
turkish,26,1,Mankenlerin menajeri akşamki gösteriden önce kaçtı,condition_b,sg,pl,sg
turkish,26,1,Mankenin menajeri akşamki gösteriden önce kaçtılar,condition_c,sg,sg,pl
turkish,26,1,Mankenin menajeri akşamki gösteriden önce kaçtı,condition_d,sg,sg,sg
turkish,27,1,Hastaların cerrahı bile bile geç kaldılar,condition_a,sg,pl,pl
turkish,27,1,Hastaların cerrahı bile bile geç kaldı,condition_b,sg,pl,sg
turkish,27,1,Hastanın cerrahı bile bile geç kaldılar,condition_c,sg,sg,pl
turkish,27,1,Hastanın cerrahı bile bile geç kaldı,condition_d,sg,sg,sg
turkish,28,1,Mimarların elemanı beklenmedik bir anda hastalandılar,condition_a,sg,pl,pl
turkish,28,1,Mimarların elemanı beklenmedik bir anda hastalandı,condition_b,sg,pl,sg
turkish,28,1,Mimarın elemanı beklenmedik bir anda hastalandılar,condition_c,sg,sg,pl
turkish,28,1,Mimarın elemanı beklenmedik bir anda hastalandı,condition_d,sg,sg,sg
turkish,29,1,İzcilerin lideri sert rüzgardan dolayı üşüdülar,condition_a,sg,pl,pl
turkish,29,1,İzcilerin lideri sert rüzgardan dolayı üşüdü,condition_b,sg,pl,sg
turkish,29,1,İzcinin lideri sert rüzgardan dolayı üşüdülar,condition_c,sg,sg,pl
turkish,29,1,İzcinin lideri sert rüzgardan dolayı üşüdü,condition_d,sg,sg,sg
turkish,30,1,Diplomatların misafiri yemekten sonra yine acıktılar,condition_a,sg,pl,pl
turkish,30,1,Diplomatların misafiri yemekten sonra yine acıktı,condition_b,sg,pl,sg
turkish,30,1,Diplomatın misafiri yemekten sonra yine acıktılar,condition_c,sg,sg,pl
turkish,30,1,Diplomatın misafiri yemekten sonra yine acıktı,condition_d,sg,sg,sg
turkish,31,1,Spikerlerin makyözü erken ödemeden dolayı sevindilar,condition_a,sg,pl,pl
turkish,31,1,Spikerlerin makyözü erken ödemeden dolayı sevindi,condition_b,sg,pl,sg
turkish,31,1,Spikerin makyözü erken ödemeden dolayı sevindilar,condition_c,sg,sg,pl
turkish,31,1,Spikerin makyözü erken ödemeden dolayı sevindi,condition_d,sg,sg,sg
turkish,32,1,Aktörlerin psikoloğu mesaiden hemen sonra uzandılar,condition_a,sg,pl,pl
turkish,32,1,Aktörlerin psikoloğu mesaiden hemen sonra uzandı,condition_b,sg,pl,sg
turkish,32,1,Aktörün psikoloğu mesaiden hemen sonra uzandılar,condition_c,sg,sg,pl
turkish,32,1,Aktörün psikoloğu mesaiden hemen sonra uzandı,condition_d,sg,sg,sg
turkish,33,1,Gazetecilerin stajyeri ilk denemede epey zorlandılar,condition_a,sg,pl,pl
turkish,33,1,Gazetecilerin stajyeri ilk denemede epey zorlandı,condition_b,sg,pl,sg
turkish,33,1,Gazetecinin stajyeri ilk denemede epey zorlandılar,condition_c,sg,sg,pl
turkish,33,1,Gazetecinin stajyeri ilk denemede epey zorlandı,condition_d,sg,sg,sg
turkish,34,1,Polislerin amiri geç bir vakitte kalktılar,condition_a,sg,pl,pl
turkish,34,1,Polislerin amiri geç bir vakitte kalktı,condition_b,sg,pl,sg
turkish,34,1,Polisin amiri geç bir vakitte kalktılar,condition_c,sg,sg,pl
turkish,34,1,Polisin amiri geç bir vakitte kalktı,condition_d,sg,sg,sg
turkish,35,1,Milyonerlerin ortağı müthiş bir ağrıyla uyandılar,condition_a,sg,pl,pl
turkish,35,1,Milyonerlerin ortağı müthiş bir ağrıyla uyandı,condition_b,sg,pl,sg
turkish,35,1,Milyonerin ortağı müthiş bir ağrıyla uyandılar,condition_c,sg,sg,pl
turkish,35,1,Milyonerin ortağı müthiş bir ağrıyla uyandı,condition_d,sg,sg,sg
turkish,36,1,Kadınların jinekoloğu boş bir caddede yürüdülar,condition_a,sg,pl,pl
