item,condition,attractor,case,verb,sentence
4,unamb_sg_sg,sg,unamb,sg,Der Computer in der Universität ist bekannt.
4,unamb_sg_pl,sg,unamb,pl,Der Computer in der Universität sind bekannt.
4,unamb_pl_sg,pl,unamb,sg,Der Computer in den Universitäten ist bekannt.
4,unamb_pl_pl,pl,unamb,pl,Der Computer in den Universitäten sind bekannt.
5,amb_sg_sg,sg,amb,sg,Der Hilferuf für die Polizeizentrale ist bekannt.
5,amb_sg_pl,sg,amb,pl,Der Hilferuf für die Polizeizentrale sind bekannt.
5,amb_pl_sg,pl,amb,sg,Der Hilferuf für die Polizeizentralen ist bekannt.
5,amb_pl_pl,pl,amb,pl,Der Hilferuf für die Polizeizentralen sind bekannt.
5,unamb_sg_sg,sg,unamb,sg,Der Hilferuf in der Polizeizentrale ist bekannt.
5,unamb_sg_pl,sg,unamb,pl,Der Hilferuf in der Polizeizentrale sind bekannt.
5,unamb_pl_sg,pl,unamb,sg,Der Hilferuf in den Polizeizentralen ist bekannt.
5,unamb_pl_pl,pl,unamb,pl,Der Hilferuf in den Polizeizentralen sind bekannt.
6,amb_sg_sg,sg,amb,sg,Der Brief an die Mutter ist bekannt.
6,amb_sg_pl,sg,amb,pl,Der Brief an die Mutter sind bekannt.
6,amb_pl_sg,pl,amb,sg,Der Brief an die Mütter ist bekannt.
6,amb_pl_pl,pl,amb,pl,Der Brief an die Mütter sind bekannt.
6,unamb_sg_sg,sg,unamb,sg,Der Brief von der Mutter ist bekannt.
6,unamb_sg_pl,sg,unamb,pl,Der Brief von der Mutter sind bekannt.
6,unamb_pl_sg,pl,unamb,sg,Der Brief von den Müttern ist bekannt.
6,unamb_pl_pl,pl,unamb,pl,Der Brief von den Müttern sind bekannt.
7,amb_sg_sg,sg,amb,sg,Der Einbruch in die Bank ist bekannt.
7,amb_sg_pl,sg,amb,pl,Der Einbruch in die Bank sind bekannt.
7,amb_pl_sg,pl,amb,sg,Der Einbruch in die Banken ist bekannt.
7,amb_pl_pl,pl,amb,pl,Der Einbruch in die Banken sind bekannt.
7,unamb_sg_sg,sg,unamb,sg,Der Einbruch bei der Bank ist bekannt.
7,unamb_sg_pl,sg,unamb,pl,Der Einbruch bei der Bank sind bekannt.
7,unamb_pl_sg,pl,unamb,sg,Der Einbruch bei den Banken ist bekannt.
7,unamb_pl_pl,pl,unamb,pl,Der Einbruch bei den Banken sind bekannt.
8,amb_sg_sg,sg,amb,sg,Der Ratschlag für die Hausfrau ist bekannt.
8,amb_sg_pl,sg,amb,pl,Der Ratschlag für die Hausfrau sind bekannt.
8,amb_pl_sg,pl,amb,sg,Der Ratschlag für die Hausfrauen ist bekannt.
8,amb_pl_pl,pl,amb,pl,Der Ratschlag für die Hausfrauen sind bekannt.
8,unamb_sg_sg,sg,unamb,sg,Der Ratschlag von der Hausfrau ist bekannt.
8,unamb_sg_pl,sg,unamb,pl,Der Ratschlag von der Hausfrau sind bekannt.
8,unamb_pl_sg,pl,unamb,sg,Der Ratschlag von den Hausfrauen ist bekannt.
8,unamb_pl_pl,pl,unamb,pl,Der Ratschlag von den Hausfrauen sind bekannt.
9,amb_sg_sg,sg,amb,sg,Der Angriff auf die Industriestadt ist bekannt.
9,amb_sg_pl,sg,amb,pl,Der Angriff auf die Industriestadt sind bekannt.
9,amb_pl_sg,pl,amb,sg,Der Angriff auf die Industriestädte ist bekannt.
9,amb_pl_pl,pl,amb,pl,Der Angriff auf die Industriestädte sind bekannt.
9,unamb_sg_sg,sg,unamb,sg,Der Angriff bei der Industriestadt ist bekannt.
9,unamb_sg_pl,sg,unamb,pl,Der Angriff bei der Industriestadt sind bekannt.
9,unamb_pl_sg,pl,unamb,sg,Der Angriff bei den Industriestädten ist bekannt.
9,unamb_pl_pl,pl,unamb,pl,Der Angriff bei den Industriestädten sind bekannt.
10,amb_sg_sg,sg,amb,sg,Der Bericht über das Fussballspiel ist bekannt.
10,amb_sg_pl,sg,amb,pl,Der Bericht über das Fussballspiel sind bekannt.
10,amb_pl_sg,pl,amb,sg,Der Bericht über die Fussballspiele ist bekannt.
10,amb_pl_pl,pl,amb,pl,Der Bericht über die Fussballspiele sind bekannt.
10,unamb_sg_sg,sg,unamb,sg,Der Bericht nach dem Fussballspiel ist bekannt.
10,unamb_sg_pl,sg,unamb,pl,Der Bericht nach dem Fussballspiel sind bekannt.
10,unamb_pl_sg,pl,unamb,sg,Der Bericht nach den Fussballspielen ist bekannt.
10,unamb_pl_pl,pl,unamb,pl,Der Bericht nach den Fussballspielen sind bekannt.
11,amb_sg_sg,sg,amb,sg,Der Aufstand gegen das Nachbarland ist bekannt.
11,amb_sg_pl,sg,amb,pl,Der Aufstand gegen das Nachbarland sind bekannt.
11,amb_pl_sg,pl,amb,sg,Der Aufstand gegen die Nachbarländer ist bekannt.
11,amb_pl_pl,pl,amb,pl,Der Aufstand gegen die Nachbarländer sind bekannt.
11,unamb_sg_sg,sg,unamb,sg,Der Aufstand in dem Nachbarland ist bekannt.
11,unamb_sg_pl,sg,unamb,pl,Der Aufstand in dem Nachbarland sind bekannt.
11,unamb_pl_sg,pl,unamb,sg,Der Aufstand in den Nachbarländern ist bekannt.
11,unamb_pl_pl,pl,unamb,pl,Der Aufstand in den Nachbarländern sind bekannt.
12,amb_sg_sg,sg,amb,sg,Der Aufsatz für das Wochenblatt ist bekannt.
12,amb_sg_pl,sg,amb,pl,Der Aufsatz für das Wochenblatt sind bekannt.
12,amb_pl_sg,pl,amb,sg,Der Aufsatz für die Wochenblätter ist bekannt.
12,amb_pl_pl,pl,amb,pl,Der Aufsatz für die Wochenblätter sind bekannt.
12,unamb_sg_sg,sg,unamb,sg,Der Aufsatz in dem Wochenblatt ist bekannt.
12,unamb_sg_pl,sg,unamb,pl,Der Aufsatz in dem Wochenblatt sind bekannt.
12,unamb_pl_sg,pl,unamb,sg,Der Aufsatz in den Wochenblättern ist bekannt.
12,unamb_pl_pl,pl,unamb,pl,Der Aufsatz in den Wochenblättern sind bekannt.
13,amb_sg_sg,sg,amb,sg,Der Bericht über die Ärztin ist bekannt.
13,amb_sg_pl,sg,amb,pl,Der Bericht über die Ärztin sind bekannt.
13,amb_pl_sg,pl,amb,sg,Der Bericht über die Ärztinnen ist bekannt.
13,amb_pl_pl,pl,amb,pl,Der Bericht über die Ärztinnen sind bekannt.
13,unamb_sg_sg,sg,unamb,sg,Der Bericht von der Ärztin ist bekannt.
13,unamb_sg_pl,sg,unamb,pl,Der Bericht von der Ärztin sind bekannt.
13,unamb_pl_sg,pl,unamb,sg,Der Bericht von den Ärztinnen ist bekannt.
13,unamb_pl_pl,pl,unamb,pl,Der Bericht von den Ärztinnen sind bekannt.
14,amb_sg_sg,sg,amb,sg,Der Verweis auf die Akte ist bekannt.
14,amb_sg_pl,sg,amb,pl,Der Verweis auf die Akte sind bekannt.
14,amb_pl_sg,pl,amb,sg,Der Verweis auf die Akten ist bekannt.
14,amb_pl_pl,pl,amb,pl,Der Verweis auf die Akten sind bekannt.
14,unamb_sg_sg,sg,unamb,sg,Der Verweis in der Akte ist bekannt.
14,unamb_sg_pl,sg,unamb,pl,Der Verweis in der Akte sind bekannt.
14,unamb_pl_sg,pl,unamb,sg,Der Verweis in den Akten ist bekannt.
14,unamb_pl_pl,pl,unamb,pl,Der Verweis in den Akten sind bekannt.
15,amb_sg_sg,sg,amb,sg,Der Kredit für die Grossbank ist bekannt.
15,amb_sg_pl,sg,amb,pl,Der Kredit für die Grossbank sind bekannt.
15,amb_pl_sg,pl,amb,sg,Der Kredit für die Grossbanken ist bekannt.
15,amb_pl_pl,pl,amb,pl,Der Kredit für die Grossbanken sind bekannt.
15,unamb_sg_sg,sg,unamb,sg,Der Kredit von der Grossbank ist bekannt.
15,unamb_sg_pl,sg,unamb,pl,Der Kredit von der Grossbank sind bekannt.
15,unamb_pl_sg,pl,unamb,sg,Der Kredit von den Grossbanken ist bekannt.
15,unamb_pl_pl,pl,unamb,pl,Der Kredit von den Grossbanken sind bekannt.
16,amb_sg_sg,sg,amb,sg,Das Gespräch über das Mädchen ist bekannt.
16,amb_sg_pl,sg,amb,pl,Das Gespräch über das Mädchen sind bekannt.
16,amb_pl_sg,pl,amb,sg,Das Gespräch über die Mädchen ist bekannt.
16,amb_pl_pl,pl,amb,pl,Das Gespräch über die Mädchen sind bekannt.
16,unamb_sg_sg,sg,unamb,sg,Das Gespräch mit dem Mädchen ist bekannt.
16,unamb_sg_pl,sg,unamb,pl,Das Gespräch mit dem Mädchen sind bekannt.
16,unamb_pl_sg,pl,unamb,sg,Das Gespräch mit den Mädchen ist bekannt.
16,unamb_pl_pl,pl,unamb,pl,Das Gespräch mit den Mädchen sind bekannt.
17,amb_sg_sg,sg,amb,sg,Das Buch über die Bibliothek ist bekannt.
17,amb_sg_pl,sg,amb,pl,Das Buch über die Bibliothek sind bekannt.
17,amb_pl_sg,pl,amb,sg,Das Buch über die Bibliotheken ist bekannt.
17,amb_pl_pl,pl,amb,pl,Das Buch über die Bibliotheken sind bekannt.
17,unamb_sg_sg,sg,unamb,sg,Das Buch in der Bibliothek ist bekannt.
17,unamb_sg_pl,sg,unamb,pl,Das Buch in der Bibliothek sind bekannt.
17,unamb_pl_sg,pl,unamb,sg,Das Buch in den Bibliotheken ist bekannt.
17,unamb_pl_pl,pl,unamb,pl,Das Buch in den Bibliotheken sind bekannt.
18,amb_sg_sg,sg,amb,sg,Das Bild für die Frau ist bekannt.
18,amb_sg_pl,sg,amb,pl,Das Bild für die Frau sind bekannt.
18,amb_pl_sg,pl,amb,sg,Das Bild für die Frauen ist bekannt.
18,amb_pl_pl,pl,amb,pl,Das Bild für die Frauen sind bekannt.
18,unamb_sg_sg,sg,unamb,sg,Das Bild mit der Frau ist bekannt.
18,unamb_sg_pl,sg,unamb,pl,Das Bild mit der Frau sind bekannt.
18,unamb_pl_sg,pl,unamb,sg,Das Bild mit den Frauen ist bekannt.
18,unamb_pl_pl,pl,unamb,pl,Das Bild mit den Frauen sind bekannt.
19,amb_sg_sg,sg,amb,sg,Das Telegramm für die Sängerin ist bekannt.
19,amb_sg_pl,sg,amb,pl,Das Telegramm für die Sängerin sind bekannt.
19,amb_pl_sg,pl,amb,sg,Das Telegramm für die Sängerinnen ist bekannt.
19,amb_pl_pl,pl,amb,pl,Das Telegramm für die Sängerinnen sind bekannt.
19,unamb_sg_sg,sg,unamb,sg,Das Telegramm von der Sängerin ist bekannt.
19,unamb_sg_pl,sg,unamb,pl,Das Telegramm von der Sängerin sind bekannt.
19,unamb_pl_sg,pl,unamb,sg,Das Telegramm von den Sängerinnen ist bekannt.
19,unamb_pl_pl,pl,unamb,pl,Das Telegramm von den Sängerinnen sind bekannt.
20,amb_sg_sg,sg,amb,sg,Das Gerücht über die Kleinstadt ist bekannt.
20,amb_sg_pl,sg,amb,pl,Das Gerücht über die Kleinstadt sind bekannt.
20,amb_pl_sg,pl,amb,sg,Das Gerücht über die Kleinstädte ist bekannt.
20,amb_pl_pl,pl,amb,pl,Das Gerücht über die Kleinstädte sind bekannt.
20,unamb_sg_sg,sg,unamb,sg,Das Gerücht in der Kleinstadt ist bekannt.
20,unamb_sg_pl,sg,unamb,pl,Das Gerücht in der Kleinstadt sind bekannt.
20,unamb_pl_sg,pl,unamb,sg,Das Gerücht in den Kleinstädten ist bekannt.
20,unamb_pl_pl,pl,unamb,pl,Das Gerücht in den Kleinstädten sind bekannt.
21,amb_sg_sg,sg,amb,sg,Das Geschenk für die Tante ist bekannt.
21,amb_sg_pl,sg,amb,pl,Das Geschenk für die Tante sind bekannt.
21,amb_pl_sg,pl,amb,sg,Das Geschenk für die Tanten ist bekannt.
21,amb_pl_pl,pl,amb,pl,Das Geschenk für die Tanten sind bekannt.
21,unamb_sg_sg,sg,unamb,sg,Das Geschenk von der Tante ist bekannt.
21,unamb_sg_pl,sg,unamb,pl,Das Geschenk von der Tante sind bekannt.
21,unamb_pl_sg,pl,unamb,sg,Das Geschenk von den Tanten ist bekannt.
21,unamb_pl_pl,pl,unamb,pl,Das Geschenk von den Tanten sind bekannt.
22,amb_sg_sg,sg,amb,sg,Die Beratung über die Fabrik ist bekannt.
22,amb_sg_pl,sg,amb,pl,Die Beratung über die Fabrik sind bekannt.
22,amb_pl_sg,pl,amb,sg,Die Beratung über die Fabriken ist bekannt.
22,amb_pl_pl,pl,amb,pl,Die Beratung über die Fabriken sind bekannt.
22,unamb_sg_sg,sg,unamb,sg,Die Beratung in der Fabrik ist bekannt.
22,unamb_sg_pl,sg,unamb,pl,Die Beratung in der Fabrik sind bekannt.
22,unamb_pl_sg,pl,unamb,sg,Die Beratung in den Fabriken ist bekannt.
22,unamb_pl_pl,pl,unamb,pl,Die Beratung in den Fabriken sind bekannt.
23,amb_sg_sg,sg,amb,sg,Die Überweisung auf das Konto ist bekannt.
23,amb_sg_pl,sg,amb,pl,Die Überweisung auf das Konto sind bekannt.
23,amb_pl_sg,pl,amb,sg,Die Überweisung auf die Konten ist bekannt.
23,amb_pl_pl,pl,amb,pl,Die Überweisung auf die Konten sind bekannt.
23,unamb_sg_sg,sg,unamb,sg,Die Überweisung von dem Konto ist bekannt.
23,unamb_sg_pl,sg,unamb,pl,Die Überweisung von dem Konto sind bekannt.
23,unamb_pl_sg,pl,unamb,sg,Die Überweisung von den Konten ist bekannt.
23,unamb_pl_pl,pl,unamb,pl,Die Überweisung von den Konten sind bekannt.
24,amb_sg_sg,sg,amb,sg,Die Übersetzung in die Fremdsprache ist bekannt.
24,amb_sg_pl,sg,amb,pl,Die Übersetzung in die Fremdsprache sind bekannt.
24,amb_pl_sg,pl,amb,sg,Die Übersetzung in die Fremdsprachen ist bekannt.
24,amb_pl_pl,pl,amb,pl,Die Übersetzung in die Fremdsprachen sind bekannt.
24,unamb_sg_sg,sg,unamb,sg,Die Übersetzung aus der Fremdsprache ist bekannt.
24,unamb_sg_pl,sg,unamb,pl,Die Übersetzung aus der Fremdsprache sind bekannt.
24,unamb_pl_sg,pl,unamb,sg,Die Übersetzung aus den Fremdsprachen ist bekannt.
24,unamb_pl_pl,pl,unamb,pl,Die Übersetzung aus den Fremdsprachen sind bekannt.
25,amb_sg_sg,sg,amb,sg,Die Stellungnahme gegen die Demonstration ist bekannt.
25,amb_sg_pl,sg,amb,pl,Die Stellungnahme gegen die Demonstration sind bekannt.
25,amb_pl_sg,pl,amb,sg,Die Stellungnahme gegen die Demonstrationen ist bekannt.
25,amb_pl_pl,pl,amb,pl,Die Stellungnahme gegen die Demonstrationen sind bekannt.
25,unamb_sg_sg,sg,unamb,sg,Die Stellungnahme zu der Demonstration ist bekannt.
25,unamb_sg_pl,sg,unamb,pl,Die Stellungnahme zu der Demonstration sind bekannt.
25,unamb_pl_sg,pl,unamb,sg,Die Stellungnahme zu den Demonstrationen ist bekannt.
25,unamb_pl_pl,pl,unamb,pl,Die Stellungnahme zu den Demonstrationen sind bekannt.
26,amb_sg_sg,sg,amb,sg,Die Unterhaltung über die Künstlerin ist bekannt.
26,amb_sg_pl,sg,amb,pl,Die Unterhaltung über die Künstlerin sind bekannt.
26,amb_pl_sg,pl,amb,sg,Die Unterhaltung über die Künstlerinnen ist bekannt.
26,amb_pl_pl,pl,amb,pl,Die Unterhaltung über die Künstlerinnen sind bekannt.
26,unamb_sg_sg,sg,unamb,sg,Die Unterhaltung mit der Künstlerin ist bekannt.
26,unamb_sg_pl,sg,unamb,pl,Die Unterhaltung mit der Künstlerin sind bekannt.
26,unamb_pl_sg,pl,unamb,sg,Die Unterhaltung mit den Künstlerinnen ist bekannt.
26,unamb_pl_pl,pl,unamb,pl,Die Unterhaltung mit den Künstlerinnen sind bekannt.
27,amb_sg_sg,sg,amb,sg,Die Verhandlung über die Schule ist bekannt.
27,amb_sg_pl,sg,amb,pl,Die Verhandlung über die Schule sind bekannt.
27,amb_pl_sg,pl,amb,sg,Die Verhandlung über die Schulen ist bekannt.
27,amb_pl_pl,pl,amb,pl,Die Verhandlung über die Schulen sind bekannt.
27,unamb_sg_sg,sg,unamb,sg,Die Verhandlung mit der Schule ist bekannt.
27,unamb_sg_pl,sg,unamb,pl,Die Verhandlung mit der Schule sind bekannt.
27,unamb_pl_sg,pl,unamb,sg,Die Verhandlung mit den Schulen ist bekannt.
27,unamb_pl_pl,pl,unamb,pl,Die Verhandlung mit den Schulen sind bekannt.
28,amb_sg_sg,sg,amb,sg,Die Brücke über das Tal ist bekannt.
28,amb_sg_pl,sg,amb,pl,Die Brücke über das Tal sind bekannt.
28,amb_pl_sg,pl,amb,sg,Die Brücke über die Täler ist bekannt.
28,amb_pl_pl,pl,amb,pl,Die Brücke über die Täler sind bekannt.
28,unamb_sg_sg,sg,unamb,sg,Die Brücke bei dem Tal ist bekannt.
28,unamb_sg_pl,sg,unamb,pl,Die Brücke bei dem Tal sind bekannt.
28,unamb_pl_sg,pl,unamb,sg,Die Brücke bei den Tälern ist bekannt.
28,unamb_pl_pl,pl,unamb,pl,Die Brücke bei den Tälern sind bekannt.
29,amb_sg_sg,sg,amb,sg,Die Hilfsaktion für das Entwicklungsland ist bekannt.
29,amb_sg_pl,sg,amb,pl,Die Hilfsaktion für das Entwicklungsland sind bekannt.
29,amb_pl_sg,pl,amb,sg,Die Hilfsaktion für die Entwicklungsländer ist bekannt.
29,amb_pl_pl,pl,amb,pl,Die Hilfsaktion für die Entwicklungsländer sind bekannt.
29,unamb_sg_sg,sg,unamb,sg,Die Hilfsaktion in dem Entwicklungsland ist bekannt.
29,unamb_sg_pl,sg,unamb,pl,Die Hilfsaktion in dem Entwicklungsland sind bekannt.
29,unamb_pl_sg,pl,unamb,sg,Die Hilfsaktion in den Entwicklungsländern ist bekannt.
29,unamb_pl_pl,pl,unamb,pl,Die Hilfsaktion in den Entwicklungsländern sind bekannt.
30,amb_sg_sg,sg,amb,sg,Die Fernsehübertragung in das Nachbarland ist bekannt.
30,amb_sg_pl,sg,amb,pl,Die Fernsehübertragung in das Nachbarland sind bekannt.
30,amb_pl_sg,pl,amb,sg,Die Fernsehübertragung in die Nachbarländer ist bekannt.
30,amb_pl_pl,pl,amb,pl,Die Fernsehübertragung in die Nachbarländer sind bekannt.
30,unamb_sg_sg,sg,unamb,sg,Die Fernsehübertragung aus dem Nachbarland ist bekannt.
30,unamb_sg_pl,sg,unamb,pl,Die Fernsehübertragung aus dem Nachbarland sind bekannt.
30,unamb_pl_sg,pl,unamb,sg,Die Fernsehübertragung aus den Nachbarländern ist bekannt.
30,unamb_pl_pl,pl,unamb,pl,Die Fernsehübertragung aus den Nachbarländern sind bekannt.
31,amb_sg_sg,sg,amb,sg,Die Fahrt durch die Schlucht ist bekannt.
31,amb_sg_pl,sg,amb,pl,Die Fahrt durch die Schlucht sind bekannt.
31,amb_pl_sg,pl,amb,sg,Die Fahrt durch die Schluchten ist bekannt.
31,amb_pl_pl,pl,amb,pl,Die Fahrt durch die Schluchten sind bekannt.
31,unamb_sg_sg,sg,unamb,sg,Die Fahrt zu der Schlucht ist bekannt.
31,unamb_sg_pl,sg,unamb,pl,Die Fahrt zu der Schlucht sind bekannt.
31,unamb_pl_sg,pl,unamb,sg,Die Fahrt zu den Schluchten ist bekannt.
31,unamb_pl_pl,pl,unamb,pl,Die Fahrt zu den Schluchten sind bekannt.
32,amb_sg_sg,sg,amb,sg,Die Diskussion über die Beamtin ist bekannt.
32,amb_sg_pl,sg,amb,pl,Die Diskussion über die Beamtin sind bekannt.
32,amb_pl_sg,pl,amb,sg,Die Diskussion über die Beamtinnen ist bekannt.
32,amb_pl_pl,pl,amb,pl,Die Diskussion über die Beamtinnen sind bekannt.
32,unamb_sg_sg,sg,unamb,sg,Die Diskussion mit der Beamtin ist bekannt.
32,unamb_sg_pl,sg,unamb,pl,Die Diskussion mit der Beamtin sind bekannt.
32,unamb_pl_sg,pl,unamb,sg,Die Diskussion mit den Beamtinnen ist bekannt.
32,unamb_pl_pl,pl,unamb,pl,Die Diskussion mit den Beamtinnen sind bekannt.
33,amb_sg_sg,sg,amb,sg,Die Auseinandersetzung über das Kind ist bekannt.
33,amb_sg_pl,sg,amb,pl,Die Auseinandersetzung über das Kind sind bekannt.
33,amb_pl_sg,pl,amb,sg,Die Auseinandersetzung über die Kinder ist bekannt.
33,amb_pl_pl,pl,amb,pl,Die Auseinandersetzung über die Kinder sind bekannt.
33,unamb_sg_sg,sg,unamb,sg,Die Auseinandersetzung mit dem Kind ist bekannt.
33,unamb_sg_pl,sg,unamb,pl,Die Auseinandersetzung mit dem Kind sind bekannt.
33,unamb_pl_sg,pl,unamb,sg,Die Auseinandersetzung mit den Kindern ist bekannt.
33,unamb_pl_pl,pl,unamb,pl,Die Auseinandersetzung mit den Kindern sind bekannt.
34,amb_sg_sg,sg,amb,sg,Die Veröffentlichung über die Zeitschrift ist bekannt.
34,amb_sg_pl,sg,amb,pl,Die Veröffentlichung über die Zeitschrift sind bekannt.
34,amb_pl_sg,pl,amb,sg,Die Veröffentlichung über die Zeitschriften ist bekannt.
34,amb_pl_pl,pl,amb,pl,Die Veröffentlichung über die Zeitschriften sind bekannt.
34,unamb_sg_sg,sg,unamb,sg,Die Veröffentlichung in der Zeitschrift ist bekannt.
34,unamb_sg_pl,sg,unamb,pl,Die Veröffentlichung in der Zeitschrift sind bekannt.
34,unamb_pl_sg,pl,unamb,sg,Die Veröffentlichung in den Zeitschriften ist bekannt.
34,unamb_pl_pl,pl,unamb,pl,Die Veröffentlichung in den Zeitschriften sind bekannt.
35,amb_sg_sg,sg,amb,sg,Die Berichterstattung über die Bundestagsdebatte ist bekannt.
35,amb_sg_pl,sg,amb,pl,Die Berichterstattung über die Bundestagsdebatte sind bekannt.
35,amb_pl_sg,pl,amb,sg,Die Berichterstattung über die Bundestagsdebatten ist bekannt.
35,amb_pl_pl,pl,amb,pl,Die Berichterstattung über die Bundestagsdebatten sind bekannt.
35,unamb_sg_sg,sg,unamb,sg,Die Berichterstattung von der Bundestagsdebatte ist bekannt.
35,unamb_sg_pl,sg,unamb,pl,Die Berichterstattung von der Bundestagsdebatte sind bekannt.
35,unamb_pl_sg,pl,unamb,sg,Die Berichterstattung von den Bundestagsdebatten ist bekannt.
35,unamb_pl_pl,pl,unamb,pl,Die Berichterstattung von den Bundestagsdebatten sind bekannt.
36,amb_sg_sg,sg,amb,sg,Die Postkarte für die Mutter ist bekannt.
36,amb_sg_pl,sg,amb,pl,Die Postkarte für die Mutter sind bekannt.
36,amb_pl_sg,pl,amb,sg,Die Postkarte für die Mütter ist bekannt.
36,amb_pl_pl,pl,amb,pl,Die Postkarte für die Mütter sind bekannt.
36,unamb_sg_sg,sg,unamb,sg,Die Postkarte von der Mutter ist bekannt.
36,unamb_sg_pl,sg,unamb,pl,Die Postkarte von der Mutter sind bekannt.
36,unamb_pl_sg,pl,unamb,sg,Die Postkarte von den Müttern ist bekannt.
36,unamb_pl_pl,pl,unamb,pl,Die Postkarte von den Müttern sind bekannt.
37,amb_sg_sg,sg,amb,sg,Die Kritik über die Aufführung ist bekannt.
37,amb_sg_pl,sg,amb,pl,Die Kritik über die Aufführung sind bekannt.
37,amb_pl_sg,pl,amb,sg,Die Kritik über die Aufführungen ist bekannt.
37,amb_pl_pl,pl,amb,pl,Die Kritik über die Aufführungen sind bekannt.
37,unamb_sg_sg,sg,unamb,sg,Die Kritik an der Aufführung ist bekannt.
37,unamb_sg_pl,sg,unamb,pl,Die Kritik an der Aufführung sind bekannt.
37,unamb_pl_sg,pl,unamb,sg,Die Kritik an den Aufführungen ist bekannt.
37,unamb_pl_pl,pl,unamb,pl,Die Kritik an den Aufführungen sind bekannt.
