model,direction,language,layer,head,correct,total,accuracy
bert,leftward,english,9,7,34308,1679481,0.02042773924767971
bert,leftward,english,9,8,35142,1679481,0.020924320444464684
bert,leftward,english,9,9,2483,1679481,0.001478432910516858
bert,leftward,english,9,10,31557,1679481,0.018789732828736305
bert,leftward,english,9,11,750,1679481,0.0004465665260795504
bert,leftward,english,10,0,60826,1679481,0.03621714189648628
bert,leftward,english,10,1,239,1679481,0.0001423058711225167
bert,leftward,english,10,2,10518,1679481,0.006262648850679398
bert,leftward,english,10,3,631,1679481,0.0003757113008759916
bert,leftward,english,10,4,81644,1679481,0.04861263558268547
bert,leftward,english,10,5,79,1679481,4.703834201791324e-05
bert,leftward,english,10,6,28584,1679481,0.017019543796777725
bert,leftward,english,10,7,5449,1679481,0.003244454739615321
bert,leftward,english,10,8,83454,1679481,0.04969035089015961
bert,leftward,english,10,9,508,1679481,0.00030247439281083643
bert,leftward,english,10,10,7813,1679481,0.004652032162994146
bert,leftward,english,10,11,22467,1679481,0.013377347029745579
bert,leftward,english,11,0,1894,1679481,0.0011277293087914586
bert,leftward,english,11,1,386,1679481,0.00022983290546108037
bert,leftward,english,11,2,4948,1679481,0.0029461481608450413
bert,leftward,english,11,3,235,1679481,0.00013992417370900512
bert,leftward,english,11,4,352,1679481,0.00020958855748176575
bert,leftward,english,11,5,2108,1679481,0.0012551496038213372
bert,leftward,english,11,6,92,1679481,5.477882587001659e-05
bert,leftward,english,11,7,36,1679481,2.1435193048091605e-05
bert,leftward,english,11,8,2137,1679481,0.0012724169064313173
bert,leftward,english,11,9,2397,1679481,0.0014272265834733844
bert,leftward,english,11,10,1236,1679481,0.0007359416340477765
bert,leftward,english,11,11,75,1679481,4.465665188035928e-05
