model,direction,language,layer,head,correct,total,accuracy
bert,leftward,turkish,4,7,0,1190043,0.0
bert,leftward,turkish,4,8,4720,1190043,0.003966243006289005
bert,leftward,turkish,4,9,260250,1190043,0.21868957579135895
bert,leftward,turkish,4,10,5263,1190043,0.004422529134899378
bert,leftward,turkish,4,11,31,1190043,2.6049478037748486e-05
bert,leftward,turkish,5,0,32,1190043,2.688978383957874e-05
bert,leftward,turkish,5,1,85484,1190043,0.07183270156383514
bert,leftward,turkish,5,2,9451,1190043,0.00794172938913107
bert,leftward,turkish,5,3,130,1190043,0.00010923975059995428
bert,leftward,turkish,5,4,48555,1190043,0.040801048278808594
bert,leftward,turkish,5,5,26,1190043,2.1847950847586617e-05
bert,leftward,turkish,5,6,102419,1190043,0.08606327325105667
bert,leftward,turkish,5,7,4804,1190043,0.004036828875541687
bert,leftward,turkish,5,8,260735,1190043,0.21909712255001068
bert,leftward,turkish,5,9,337595,1190043,0.28368303179740906
bert,leftward,turkish,5,10,1175,1190043,0.0009873593226075172
bert,leftward,turkish,5,11,308346,1190043,0.2591049373149872
bert,leftward,turkish,6,0,56119,1190043,0.04715711995959282
bert,leftward,turkish,6,1,8367,1190043,0.007030838169157505
bert,leftward,turkish,6,2,4325,1190043,0.0036343224346637726
bert,leftward,turkish,6,3,999,1190043,0.000839465472381562
bert,leftward,turkish,6,4,42855,1190043,0.03601130470633507
bert,leftward,turkish,6,5,2153,1190043,0.0018091782694682479
bert,leftward,turkish,6,6,121099,1190043,0.10176018625497818
bert,leftward,turkish,6,7,970,1190043,0.0008150966023094952
bert,leftward,turkish,6,8,55840,1190043,0.04692267253994942
bert,leftward,turkish,6,9,44088,1190043,0.03704740107059479
bert,leftward,turkish,6,10,283957,1190043,0.23861069977283478
bert,leftward,turkish,6,11,115151,1190043,0.0967620462179184
bert,leftward,turkish,7,0,4252,1190043,0.003572980174794793
bert,leftward,turkish,7,1,41,1190043,3.445253605605103e-05
bert,leftward,turkish,7,2,69,1190043,5.798109850729816e-05
bert,leftward,turkish,7,3,230980,1190043,0.19409382343292236
bert,leftward,turkish,7,4,2833,1190043,0.002380586229264736
bert,leftward,turkish,7,5,286,1190043,0.00024032745568547398
bert,leftward,turkish,7,6,157040,1190043,0.1319616138935089
bert,leftward,turkish,7,7,125,1190043,0.0001050382197718136
bert,leftward,turkish,7,8,309684,1190043,0.2602292597293854
bert,leftward,turkish,7,9,362,1190043,0.0003041906747967005
bert,leftward,turkish,7,10,59309,1190043,0.04983769357204437
bert,leftward,turkish,7,11,451,1190043,0.0003789779148064554
bert,leftward,turkish,8,0,361,1190043,0.00030335038900375366
bert,leftward,turkish,8,1,17846,1190043,0.01499609649181366
bert,leftward,turkish,8,2,65300,1190043,0.05487196519970894
bert,leftward,turkish,8,3,33271,1190043,0.027957813814282417
bert,leftward,turkish,8,4,12442,1190043,0.010455084033310413
bert,leftward,turkish,8,5,254,1190043,0.00021343767002690583
bert,leftward,turkish,8,6,931,1190043,0.0007823246996849775
bert,leftward,turkish,8,7,16375,1190043,0.013760006986558437
bert,leftward,turkish,8,8,214,1190043,0.00017982543795369565
bert,leftward,turkish,8,9,2294,1190043,0.0019276614766567945
bert,leftward,turkish,8,10,157244,1190043,0.13213303685188293
bert,leftward,turkish,8,11,278214,1190043,0.23378482460975647
bert,leftward,turkish,9,0,329,1190043,0.0002764606033451855
bert,leftward,turkish,9,1,85413,1190043,0.07177303731441498
bert,leftward,turkish,9,2,48053,1190043,0.04037921503186226
bert,leftward,turkish,9,3,3955,1190043,0.003323409240692854
bert,leftward,turkish,9,4,1008,1190043,0.0008470282191410661
bert,leftward,turkish,9,5,5153,1190043,0.004330095835030079
bert,leftward,turkish,9,6,39221,1190043,0.03295763209462166
bert,leftward,turkish,9,7,3169,1190043,0.002662929007783532
bert,leftward,turkish,9,8,351,1190043,0.0002949473273474723
bert,leftward,turkish,9,9,4103,1190043,0.00344777456484735
bert,leftward,turkish,9,10,10134,1190043,0.008515658788383007
bert,leftward,turkish,9,11,314,1190043,0.0002638560254126787
bert,leftward,turkish,10,0,2584,1190043,0.0021713501773774624
bert,leftward,turkish,10,1,434,1190043,0.00036469270708039403
bert,leftward,turkish,10,2,2458,1190043,0.0020654716063290834
bert,leftward,turkish,10,3,253,1190043,0.00021259735513012856
bert,leftward,turkish,10,4,283,1190043,0.00023780654009897262
bert,leftward,turkish,10,5,1002,1190043,0.0008419863879680634
bert,leftward,turkish,10,6,1446,1190043,0.0012150821276009083
bert,leftward,turkish,10,7,425,1190043,0.00035712996032088995
bert,leftward,turkish,10,8,14979,1190043,0.012586940079927444
bert,leftward,turkish,10,9,5748,1190043,0.0048300777561962605
bert,leftward,turkish,10,10,17154,1190043,0.014414604753255844
bert,leftward,turkish,10,11,16278,1190043,0.01367849763482809
bert,leftward,turkish,11,0,1055,1190043,0.000886522582732141
bert,leftward,turkish,11,1,1978,1190043,0.0016621247632429004
bert,leftward,turkish,11,2,1650,1190043,0.0013865045038983226
bert,leftward,turkish,11,3,1211,1190043,0.0010176103096455336
bert,leftward,turkish,11,4,834,1190043,0.0007008149987086654
bert,leftward,turkish,11,5,5133,1190043,0.004313289653509855
bert,leftward,turkish,11,6,1477,1190043,0.0012411315692588687
bert,leftward,turkish,11,7,18686,1190043,0.015701953321695328
bert,leftward,turkish,11,8,739,1190043,0.0006209859857335687
bert,leftward,turkish,11,9,833,1190043,0.0006999747129157186
bert,leftward,turkish,11,10,739,1190043,0.0006209859857335687
bert,leftward,turkish,11,11,427,1190043,0.00035881056101061404
