lang,head_num,attr_num,verb_num,model,is_syn,type,mean,se
tr,sg,pl,sg,bert,no,attractor,0.10580862587491094,0.01155307511289041
tr,sg,pl,sg,bert,yes,attractor,0.1177492672045316,0.012387414901277592
tr,sg,pl,sg,gpt2,no,attractor,1.4254425999730131,0.07206496942943748
tr,sg,pl,sg,gpt2,yes,attractor,1.3389536142349243,0.08182841903738956
tr,sg,sg,pl,bert,no,attractor,0.15475985858329505,0.011562769693607013
tr,sg,sg,pl,bert,yes,attractor,0.16629610716232232,0.013995110297247058
tr,sg,sg,pl,gpt2,no,attractor,1.9790001913558606,0.07946517620221578
tr,sg,sg,pl,gpt2,yes,attractor,1.980555657078238,0.08709325348758662
tr,sg,sg,sg,bert,no,attractor,0.13956833593980517,0.013097535685703201
tr,sg,sg,sg,bert,yes,attractor,0.14929965564182826,0.015139889115119192
tr,sg,sg,sg,gpt2,no,attractor,1.4248775881390239,0.07314862673788682
tr,sg,sg,sg,gpt2,yes,attractor,1.3371875847087187,0.08170680025415775
tr,sg,pl,pl,bert,no,head,0.11251151696020781,0.01027192596987942
tr,sg,pl,pl,bert,yes,head,0.09123632753533976,0.009691229938603512
tr,sg,pl,pl,gpt2,no,head,0.010680503285013482,0.0014761681019758634
tr,sg,pl,pl,gpt2,yes,head,0.01461700200418229,0.002665421914995536
tr,sg,pl,sg,bert,no,head,0.09711323180344215,0.007858121783580203
tr,sg,pl,sg,bert,yes,head,0.0763758374111993,0.007805005121744293
tr,sg,pl,sg,gpt2,no,head,0.00972915239203017,0.0014975532332246646
tr,sg,pl,sg,gpt2,yes,head,0.011568231321528878,0.0026953798452802494
tr,sg,sg,pl,bert,no,head,0.1092008716145227,0.010427951483167677
tr,sg,sg,pl,bert,yes,head,0.08950715661048889,0.009863163431390813
tr,sg,sg,pl,gpt2,no,head,0.009982542891521002,0.0013696345808408604
tr,sg,sg,pl,gpt2,yes,head,0.015689307768993514,0.0033152455343640344
tr,sg,sg,sg,bert,no,head,0.0959561062586862,0.008183744226501588
tr,sg,sg,sg,bert,yes,head,0.07407143296939986,0.007692994461930594
tr,sg,sg,sg,gpt2,no,head,0.009030628362589317,0.0013532227710059575
tr,sg,sg,sg,gpt2,yes,head,0.011976736724404066,0.0032805474428304698
rus,pl,pl,pl,bert,no,attractor,0.10308033424533075,0.009078751474817194
rus,pl,pl,pl,bert,yes,attractor,0.13032334413507887,0.021011766676140867
rus,pl,pl,sg,bert,no,attractor,0.07395618665032089,0.007365391595549453
rus,pl,pl,sg,bert,yes,attractor,0.11377419781839025,0.018634911827195934
rus,pl,sg,pl,bert,no,attractor,0.10273126000538468,0.014485062084590689
rus,pl,sg,pl,bert,yes,attractor,0.11024996157931655,0.011976888172512645
rus,pl,sg,sg,bert,no,attractor,0.08962038604659028,0.012836727985783019
rus,pl,sg,sg,bert,yes,attractor,0.09518024281255508,0.012128610900908663
rus,sg,pl,pl,bert,no,attractor,0.0903723490320974,0.009682258481227736
rus,sg,pl,pl,bert,yes,attractor,0.10812718936552604,0.018886244229178423
rus,sg,pl,sg,bert,no,attractor,0.097411232896977007,0.010820345071203793
rus,sg,pl,sg,bert,yes,attractor,0.12843046293904384,0.022402846361013768
rus,sg,sg,pl,bert,no,attractor,0.07001907208177727,0.009815406238797945
rus,sg,sg,pl,bert,yes,attractor,0.09450747543133986,0.012719639766480596
rus,sg,sg,sg,bert,no,attractor,0.0988396072643809,0.014997168264056223
rus,sg,sg,sg,bert,yes,attractor,0.11109146948617238,0.015102660022677914
rus,pl,pl,pl,bert,no,head,0.33854027858210933,0.053283802316937016
rus,pl,pl,pl,bert,yes,head,0.264084093272686,0.02343758372461537
rus,pl,pl,sg,bert,no,head,0.2669489852980607,0.06243128781173734
rus,pl,pl,sg,bert,yes,head,0.22665488678191242,0.025924996949378387
rus,pl,sg,pl,bert,no,head,0.38232048018835485,0.0552599598647621
rus,pl,sg,pl,bert,yes,head,0.29325785419266476,0.026209088174155452
rus,pl,sg,sg,bert,no,head,0.28663153760135174,0.07096693680447924
rus,pl,sg,sg,bert,yes,head,0.248147334021173,0.027414143066338322
rus,sg,pl,pl,bert,no,head,0.29993370661718977,0.06680342071783045
rus,sg,pl,pl,bert,yes,head,0.20993765021363894,0.024526704877097263
rus,sg,pl,sg,bert,no,head,0.37276965762592024,0.05507054054090382
rus,sg,pl,sg,bert,yes,head,0.2934277633825938,0.027456341354918812
rus,sg,sg,pl,bert,no,head,0.32998308655805886,0.07352712503177397
rus,sg,sg,pl,bert,yes,head,0.23298366950490537,0.025838380662088822
rus,sg,sg,sg,bert,no,head,0.39045020565390587,0.062102909542303755
rus,sg,sg,sg,bert,yes,head,0.32881546249756444,0.031019112288447826
