item,sentence,condition,head_num,attr_num,verb_num,attention_to_attractor,attention_to_head,model
7,doktorun çiçekçisi günden güne zayıfladı,condition_d,sg,sg,sg,0.06796950101852417,0.12293493747711182,bert
8,stajyerlerin eniştesi geceden önce uyudular,condition_a,sg,pl,pl,0.11905118823051453,0.13698258996009827,bert
8,stajyerlerin eniştesi geceden önce uyudu,condition_b,sg,pl,sg,0.11058385670185089,0.1124107763171196,bert
8,stajyerin eniştesi geceden önce uyudular,condition_c,sg,sg,pl,0.14828330278396606,0.10295262932777405,bert
8,stajyerin eniştesi geceden önce uyudu,condition_d,sg,sg,sg,0.1569150984287262,0.08731629699468613,bert
9,aristokratların hizmetçisi yorgun argın yattılar,condition_a,sg,pl,pl,0.20195169746875763,0.11060253530740738,bert
9,aristokratların hizmetçisi yorgun argın yattı,condition_b,sg,pl,sg,0.17734643816947937,0.11963631212711334,bert
9,aristokratın hizmetçisi yorgun argın yattılar,condition_c,sg,sg,pl,0.20424246788024902,0.10187800228595734,bert
9,aristokratın hizmetçisi yorgun argın yattı,condition_d,sg,sg,sg,0.1780051290988922,0.10956266522407532,bert
10,konuşmacıların sunucusu olağanüstü hızlı koştular,condition_a,sg,pl,pl,0.37933462858200073,0.25985464453697205,bert
10,konuşmacıların sunucusu olağanüstü hızlı koştu,condition_b,sg,pl,sg,0.4073464870452881,0.2280961275100708,bert
10,konuşmacının sunucusu olağanüstü hızlı koştular,condition_c,sg,sg,pl,0.3446098268032074,0.2779499888420105,bert
10,konuşmacının sunucusu olağanüstü hızlı koştu,condition_d,sg,sg,sg,0.4278239607810974,0.2500486373901367,bert
11,psikiyatristlerin eczacısı aç susuz dolaştılar,condition_a,sg,pl,pl,0.11745068430900574,0.10591521859169006,bert
11,psikiyatristlerin eczacısı aç susuz dolaştı,condition_b,sg,pl,sg,0.11149537563323975,0.10424366593360901,bert
11,psikiyatristin eczacısı aç susuz dolaştılar,condition_c,sg,sg,pl,0.1944475769996643,0.09519116580486298,bert
11,psikiyatristin eczacısı aç susuz dolaştı,condition_d,sg,sg,sg,0.18425363302230835,0.09378660470247269,bert
12,politikacıların hocası adliyeden çabucak çıktılar,condition_a,sg,pl,pl,0.06245189532637596,0.06436837464570999,bert
12,politikacıların hocası adliyeden çabucak çıktı,condition_b,sg,pl,sg,0.08772914111614227,0.06576506793498993,bert
12,politikacının hocası adliyeden çabucak çıktılar,condition_c,sg,sg,pl,0.08577349036931992,0.05672604963183403,bert
12,politikacının hocası adliyeden çabucak çıktı,condition_d,sg,sg,sg,0.12596750259399414,0.05809123441576958,bert
13,hakimlerin çaycısı nedensiz yere kızdılar,condition_a,sg,pl,pl,0.1325342059135437,0.13148602843284607,bert
13,hakimlerin çaycısı nedensiz yere kızdı,condition_b,sg,pl,sg,0.16692134737968445,0.13742826879024506,bert
13,hakimin çaycısı nedensiz yere kızdılar,condition_c,sg,sg,pl,0.17719164490699768,0.10833033919334412,bert
13,hakimin çaycısı nedensiz yere kızdı,condition_d,sg,sg,sg,0.2164376974105835,0.11807852238416672,bert
14,oyuncuların hemşiresi etrafta amaçsızca gezdiler,condition_a,sg,pl,pl,0.07401703298091888,0.096153125166893,bert
14,oyuncuların hemşiresi etrafta amaçsızca gezdi,condition_b,sg,pl,sg,0.09440102428197861,0.093978151679039,bert
14,oyuncunun hemşiresi etrafta amaçsızca gezdiler,condition_c,sg,sg,pl,0.14588719606399536,0.09339971840381622,bert
14,oyuncunun hemşiresi etrafta amaçsızca gezdi,condition_d,sg,sg,sg,0.17068922519683838,0.09150798618793488,bert
15,öğretmenlerin müdiresi biraz önce aradılar,condition_a,sg,pl,pl,0.08412624150514603,0.3165666162967682,bert
15,öğretmenlerin müdiresi biraz önce aradı,condition_b,sg,pl,sg,0.04135773703455925,0.18117424845695496,bert
15,öğretmenin müdiresi biraz önce aradılar,condition_c,sg,sg,pl,0.09805494546890259,0.29816514253616333,bert
15,öğretmenin müdiresi biraz önce aradı,condition_d,sg,sg,sg,0.036784578114748,0.17030805349349976,bert
16,milyonerlerin terzisi tamamen gereksizce bağırdılar,condition_a,sg,pl,pl,0.11874843388795853,0.10334470123052597,bert
16,milyonerlerin terzisi tamamen gereksizce bağırdı,condition_b,sg,pl,sg,0.14139731228351593,0.1007615178823471,bert
16,milyonerin terzisi tamamen gereksizce bağırdılar,condition_c,sg,sg,pl,0.08711293339729309,0.07638177275657654,bert
16,milyonerin terzisi tamamen gereksizce bağırdı,condition_d,sg,sg,sg,0.10065111517906189,0.08067543804645538,bert
17,bebeklerin bakıcısı çok kibar davrandılar,condition_a,sg,pl,pl,0.13590745627880096,0.11210384964942932,bert
17,bebeklerin bakıcısı çok kibar davrandı,condition_b,sg,pl,sg,0.1547277271747589,0.11867862939834595,bert
17,bebeğin bakıcısı çok kibar davrandılar,condition_c,sg,sg,pl,0.09600169956684113,0.11459781229496002,bert
17,bebeğin bakıcısı çok kibar davrandı,condition_d,sg,sg,sg,0.10765369236469269,0.12504470348358154,bert
18,çocukların dadısı yüksek sesle konuştular,condition_a,sg,pl,pl,0.05937560647726059,0.21681836247444153,bert
18,çocukların dadısı yüksek sesle konuştu,condition_b,sg,pl,sg,0.012930053286254406,0.10776301473379135,bert
18,çocuğun dadısı yüksek sesle konuştular,condition_c,sg,sg,pl,0.12018343806266785,0.22095006704330444,bert
18,çocuğun dadısı yüksek sesle konuştu,condition_d,sg,sg,sg,0.033056486397981644,0.1166631430387497,bert
19,futbolcuların sürücüsü çok yavaş çalıştılar,condition_a,sg,pl,pl,0.006601482164114714,0.03140927106142044,bert
19,futbolcuların sürücüsü çok yavaş çalıştı,condition_b,sg,pl,sg,0.006928601767867804,0.03205491229891777,bert
19,futbolcunun sürücüsü çok yavaş çalıştılar,condition_c,sg,sg,pl,0.033912479877471924,0.045968279242515564,bert
19,futbolcunun sürücüsü çok yavaş çalıştı,condition_d,sg,sg,sg,0.03359481319785118,0.04428962990641594,bert
20,modacıların taksicisi saatlerce durmaksızın içtiler,condition_a,sg,pl,pl,0.07727450877428055,0.07129774242639542,bert
20,modacıların taksicisi saatlerce durmaksızın içti,condition_b,sg,pl,sg,0.09382273256778717,0.10925663262605667,bert
20,modacının taksicisi saatlerce durmaksızın içtiler,condition_c,sg,sg,pl,0.0834246426820755,0.07314890623092651,bert
20,modacının taksicisi saatlerce durmaksızın içti,condition_d,sg,sg,sg,0.09019380807876587,0.11222998052835464,bert
21,sanatçıların çalgıcısı feci bir şekilde öldüler,condition_a,sg,pl,pl,0.03709125146269798,0.21006576716899872,bert
21,sanatçıların çalgıcısı feci bir şekilde öldü,condition_b,sg,pl,sg,0.010609691962599754,0.0903138592839241,bert
21,sanatçının çalgıcısı feci bir şekilde öldüler,condition_c,sg,sg,pl,0.08591997623443604,0.20776832103729248,bert
21,sanatçının çalgıcısı feci bir şekilde öldü,condition_d,sg,sg,sg,0.014679360203444958,0.09389317780733109,bert
22,dedektiflerin dişçisi ilk kez çılgınca eğlendiler,condition_a,sg,pl,pl,0.05440891534090042,0.08615606278181076,bert
22,dedektiflerin dişçisi ilk kez çılgınca eğlendi,condition_b,sg,pl,sg,0.06336627900600433,0.08641549199819565,bert
22,dedektifin dişçisi ilk kez çılgınca eğlendiler,condition_c,sg,sg,pl,0.09726911038160324,0.07556705176830292,bert
22,dedektifin dişçisi ilk kez çılgınca eğlendi,condition_d,sg,sg,sg,0.1036817878484726,0.07542862743139267,bert
23,esnafların müşterisi şikayettten hemen sonra sustular,condition_a,sg,pl,pl,0.10557498782873154,0.08759179711341858,bert
23,esnafların müşterisi şikayettten hemen sonra sustu,condition_b,sg,pl,sg,0.07753886282444,0.04820425063371658,bert
23,esnafın müşterisi şikayettten hemen sonra sustular,condition_c,sg,sg,pl,0.13894465565681458,0.08496993780136108,bert
23,esnafın müşterisi şikayettten hemen sonra sustu,condition_d,sg,sg,sg,0.11210903525352478,0.04802427813410759,bert
24,şarkıcıların koruması her zamanki gibi geciktiler,condition_a,sg,pl,pl,0.10296425223350525,0.08179236948490143,bert
24,şarkıcıların koruması her zamanki gibi gecikti,condition_b,sg,pl,sg,0.12048669159412384,0.08683811873197556,bert
24,şarkıcının koruması her zamanki gibi geciktiler,condition_c,sg,sg,pl,0.1833280324935913,0.07880477607250214,bert
24,şarkıcının koruması her zamanki gibi gecikti,condition_d,sg,sg,sg,0.20696833729743958,0.08598485589027405,bert
25,göstericilerin izleyicisi akşama kadar sessizce oturdular,condition_a,sg,pl,pl,0.13246037065982819,0.10158305615186691,bert
25,göstericilerin izleyicisi akşama kadar sessizce oturdu,condition_b,sg,pl,sg,0.050325069576501846,0.05530712008476257,bert
25,göstericinin izleyicisi akşama kadar sessizce oturdular,condition_c,sg,sg,pl,0.1699136197566986,0.09952262789011002,bert
25,göstericinin izleyicisi akşama kadar sessizce oturdu,condition_d,sg,sg,sg,0.058801524341106415,0.05404546856880188,bert
26,cerrahların hastası akşamki gösteriden önce kaçtılar,condition_a,sg,pl,pl,0.19514942169189453,0.056683823466300964,bert
26,cerrahların hastası akşamki gösteriden önce kaçtı,condition_b,sg,pl,sg,0.0627301037311554,0.03136316314339638,bert
26,cerrahın hastası akşamki gösteriden önce kaçtılar,condition_c,sg,sg,pl,0.2859949469566345,0.054947808384895325,bert
26,cerrahın hastası akşamki gösteriden önce kaçtı,condition_d,sg,sg,sg,0.08395577222108841,0.02829568088054657,bert
27,dalgıçların annesi bile bile geç kaldılar,condition_a,sg,pl,pl,0.16379524767398834,0.02732768841087818,bert
27,dalgıçların annesi bile bile geç kaldı,condition_b,sg,pl,sg,0.2307376116514206,0.021589329466223717,bert
27,dalgıcın annesi bile bile geç kaldılar,condition_c,sg,sg,pl,0.12091957032680511,0.03233536332845688,bert
27,dalgıcın annesi bile bile geç kaldı,condition_d,sg,sg,sg,0.14798490703105927,0.02200484462082386,bert
28,fabrikatörlerin işçisi beklenmedik bir anda hastalandılar,condition_a,sg,pl,pl,0.2726968228816986,0.056660644710063934,bert
28,fabrikatörlerin işçisi beklenmedik bir anda hastalandı,condition_b,sg,pl,sg,0.21084384620189667,0.046134695410728455,bert
28,fabrikatörün işçisi beklenmedik bir anda hastalandılar,condition_c,sg,sg,pl,0.3319667875766754,0.056079551577568054,bert
28,fabrikatörün işçisi beklenmedik bir anda hastalandı,condition_d,sg,sg,sg,0.24682040512561798,0.048125118017196655,bert
29,komedyenlerin yardımcısı poyrazdan dolayı üşüdüler,condition_a,sg,pl,pl,0.15437832474708557,0.05889207124710083,bert
29,komedyenlerin yardımcısı poyrazdan dolayı üşüdü,condition_b,sg,pl,sg,0.20605887472629547,0.08999362587928772,bert
29,komedyenin yardımcısı poyrazdan dolayı üşüdüler,condition_c,sg,sg,pl,0.26430341601371765,0.06156579405069351,bert
29,komedyenin yardımcısı poyrazdan dolayı üşüdü,condition_d,sg,sg,sg,0.39582929015159607,0.1030886173248291,bert
30,şoförlerin yolcusu yemekten sonra yine acıktılar,condition_a,sg,pl,pl,0.08177578449249268,0.037322837859392166,bert
30,şoförlerin yolcusu yemekten sonra yine acıktı,condition_b,sg,pl,sg,0.09085128456354141,0.03767452761530876,bert
30,şoförün yolcusu yemekten sonra yine acıktılar,condition_c,sg,sg,pl,0.1345106065273285,0.03811927139759064,bert
30,şoförün yolcusu yemekten sonra yine acıktı,condition_d,sg,sg,sg,0.15220403671264648,0.041012540459632874,bert
31,mühendislerin kapıcısı erken ödemeden dolayı sevindiler,condition_a,sg,pl,pl,0.06263598799705505,0.09691780805587769,bert
31,mühendislerin kapıcısı erken ödemeden dolayı sevindi,condition_b,sg,pl,sg,0.07780234515666962,0.11021726578474045,bert
31,mühendisin kapıcısı erken ödemeden dolayı sevindiler,condition_c,sg,sg,pl,0.13618963956832886,0.09114508330821991,bert
31,mühendisin kapıcısı erken ödemeden dolayı sevindi,condition_d,sg,sg,sg,0.1694193184375763,0.10072755068540573,bert
32,pazarcıların nakliyecisi mesaiden hemen sonra uzandılar,condition_a,sg,pl,pl,0.1033957228064537,0.1663230061531067,bert
32,pazarcıların nakliyecisi mesaiden hemen sonra uzandı,condition_b,sg,pl,sg,0.11546351760625839,0.18493995070457458,bert
32,pazarcının nakliyecisi mesaiden hemen sonra uzandılar,condition_c,sg,sg,pl,0.1104942336678505,0.17027775943279266,bert
32,pazarcının nakliyecisi mesaiden hemen sonra uzandı,condition_d,sg,sg,sg,0.12339338660240173,0.19073209166526794,bert
33,oyuncuların eğitimcisi ilk denemede epey zorlandılar,condition_a,sg,pl,pl,0.04972913861274719,0.11822471767663956,bert
33,oyuncuların eğitimcisi ilk denemede epey zorlandı,condition_b,sg,pl,sg,0.05214400961995125,0.1081133782863617,bert
33,oyuncunun eğitimcisi ilk denemede epey zorlandılar,condition_c,sg,sg,pl,0.08416157215833664,0.12840603291988373,bert
33,oyuncunun eğitimcisi ilk denemede epey zorlandı,condition_d,sg,sg,sg,0.09319974482059479,0.1160026416182518,bert
34,mankenlerin modacısı geç bir vakitte kalktılar,condition_a,sg,pl,pl,0.11343748867511749,0.04390659183263779,bert
34,mankenlerin modacısı geç bir vakitte kalktı,condition_b,sg,pl,sg,0.04189034551382065,0.02327350154519081,bert
34,mankenin modacısı geç bir vakitte kalktılar,condition_c,sg,sg,pl,0.21058592200279236,0.03950328379869461,bert
34,mankenin modacısı geç bir vakitte kalktı,condition_d,sg,sg,sg,0.08841308951377869,0.02090231515467167,bert
35,konukların teyzesi müthiş bir ağrıyla uyandılar,condition_a,sg,pl,pl,0.1168595552444458,0.04674238711595535,bert
35,konukların teyzesi müthiş bir ağrıyla uyandı,condition_b,sg,pl,sg,0.15841259062290192,0.05906183272600174,bert
35,konuğun teyzesi müthiş bir ağrıyla uyandılar,condition_c,sg,sg,pl,0.15714821219444275,0.04035361483693123,bert
35,konuğun teyzesi müthiş bir ağrıyla uyandı,condition_d,sg,sg,sg,0.2012740969657898,0.052691441029310226,bert
36,oğlanların amcası boş bir caddede yürüdüler,condition_a,sg,pl,pl,0.09092541038990021,0.04378804564476013,bert
36,oğlanların amcası boş bir caddede yürüdü,condition_b,sg,pl,sg,0.030323747545480728,0.018695197999477386,bert
36,oğlanın amcası boş bir caddede yürüdüler,condition_c,sg,sg,pl,0.15820324420928955,0.0430460050702095,bert
36,oğlanın amcası boş bir caddede yürüdü,condition_d,sg,sg,sg,0.044228412210941315,0.01721511408686638,bert
37,avukatların komşusu toplantıdan sonra birden sarardılar,condition_a,sg,pl,pl,0.06152325123548508,0.044845905154943466,bert
37,avukatların komşusu toplantıdan sonra birden sarardı,condition_b,sg,pl,sg,0.07552265375852585,0.05720371752977371,bert
37,avukatın komşusu toplantıdan sonra birden sarardılar,condition_c,sg,sg,pl,0.08089949935674667,0.04490768536925316,bert
37,avukatın komşusu toplantıdan sonra birden sarardı,condition_d,sg,sg,sg,0.09943753480911255,0.05828729271888733,bert
38,ünlülerin falcısı yabancı bir ülkede kayboldular,condition_a,sg,pl,pl,0.12019015848636627,0.2174791842699051,bert
38,ünlülerin falcısı yabancı bir ülkede kayboldu,condition_b,sg,pl,sg,0.08891117572784424,0.18036329746246338,bert
38,ünlünün falcısı yabancı bir ülkede kayboldular,condition_c,sg,sg,pl,0.21319511532783508,0.19035206735134125,bert
38,ünlünün falcısı yabancı bir ülkede kayboldu,condition_d,sg,sg,sg,0.141818568110466,0.17183314263820648,bert
39,çiftçilerin bekçisi normalden çok yavaş gezindiler,condition_a,sg,pl,pl,0.04994594305753708,0.04215351119637489,bert
39,çiftçilerin bekçisi normalden çok yavaş gezindi,condition_b,sg,pl,sg,0.06285640597343445,0.04722527414560318,bert
39,çiftçinin bekçisi normalden çok yavaş gezindiler,condition_c,sg,sg,pl,0.06530151516199112,0.04569303244352341,bert
39,çiftçinin bekçisi normalden çok yavaş gezindi,condition_d,sg,sg,sg,0.07729927450418472,0.05126580595970154,bert
40,kadınların ninesi geçen seneye göre dinçleştiler,condition_a,sg,pl,pl,0.15701201558113098,0.17163632810115814,bert
40,kadınların ninesi geçen seneye göre dinçleşti,condition_b,sg,pl,sg,0.12564581632614136,0.15178118646144867,bert
40,kadının ninesi geçen seneye göre dinçleştiler,condition_c,sg,sg,pl,0.24876663088798523,0.1639792025089264,bert
40,kadının ninesi geçen seneye göre dinçleşti,condition_d,sg,sg,sg,0.18533770740032196,0.1489955335855484,bert
1,Şarkıcıların vokalisti sahnede sürekli zıpladılar,condition_a,sg,pl,pl,0.11120769381523132,0.19333530962467194,bert
1,Şarkıcıların vokalisti sahnede sürekli zıpladı,condition_b,sg,pl,sg,0.12368258833885193,0.1779172122478485,bert
1,Şarkıcının vokalisti sahnede sürekli zıpladılar,condition_c,sg,sg,pl,0.1636868268251419,0.19080913066864014,bert
1,Şarkıcının vokalisti sahnede sürekli zıpladı,condition_d,sg,sg,sg,0.19599366188049316,0.1747843325138092,bert
2,Öğrencilerin danışmanı sınıfta birden bayıldılar,condition_a,sg,pl,pl,0.08887729048728943,0.06413213163614273,bert
2,Öğrencilerin danışmanı sınıfta birden bayıldı,condition_b,sg,pl,sg,0.07745110243558884,0.038257598876953125,bert
2,Öğrencinin danışmanı sınıfta birden bayıldılar,condition_c,sg,sg,pl,0.2173088788986206,0.05518203601241112,bert
2,Öğrencinin danışmanı sınıfta birden bayıldı,condition_d,sg,sg,sg,0.16603043675422668,0.02889402210712433,bert
3,Ressamların rakibi atölyeden hızla uzaklaştılar,condition_a,sg,pl,pl,0.12020917236804962,0.12319581210613251,bert
3,Ressamların rakibi atölyeden hızla uzaklaştı,condition_b,sg,pl,sg,0.11485517024993896,0.11614039540290833,bert
3,Ressamın rakibi atölyeden hızla uzaklaştılar,condition_c,sg,sg,pl,0.14933423697948456,0.11508676409721375,bert
3,Ressamın rakibi atölyeden hızla uzaklaştı,condition_d,sg,sg,sg,0.14700643718242645,0.10758253931999207,bert
4,Subayların düşmanı aniden küstahça güldülar,condition_a,sg,pl,pl,0.1857253462076187,0.02793305367231369,bert
4,Subayların düşmanı aniden küstahça güldü,condition_b,sg,pl,sg,0.0901222974061966,0.053832411766052246,bert
4,Subayın düşmanı aniden küstahça güldülar,condition_c,sg,sg,pl,0.07131903618574142,0.038680076599121094,bert
4,Subayın düşmanı aniden küstahça güldü,condition_d,sg,sg,sg,0.07604871690273285,0.06825004518032074,bert
5,Müzisyenlerin hayranı sabaha kadar ağladılar,condition_a,sg,pl,pl,0.32464367151260376,0.03318629413843155,bert
5,Müzisyenlerin hayranı sabaha kadar ağladı,condition_b,sg,pl,sg,0.37399008870124817,0.035879313945770264,bert
5,Müzisyenin hayranı sabaha kadar ağladılar,condition_c,sg,sg,pl,0.3732868432998657,0.03012857586145401,bert
5,Müzisyenin hayranı sabaha kadar ağladı,condition_d,sg,sg,sg,0.4124922454357147,0.03233111649751663,bert
6,Borsacıların çalışanı arada sırada sıkıldılar,condition_a,sg,pl,pl,0.16710244119167328,0.06974776834249496,bert
6,Borsacıların çalışanı arada sırada sıkıldı,condition_b,sg,pl,sg,0.11515963077545166,0.052153080701828,bert
6,Borsacının çalışanı arada sırada sıkıldılar,condition_c,sg,sg,pl,0.28129610419273376,0.059288203716278076,bert
6,Borsacının çalışanı arada sırada sıkıldı,condition_d,sg,sg,sg,0.19040921330451965,0.04713395982980728,bert
7,Profesörlerin sekreteri günden güne zayıfladılar,condition_a,sg,pl,pl,0.06540915369987488,0.08125989139080048,bert
7,Profesörlerin sekreteri günden güne zayıfladı,condition_b,sg,pl,sg,0.0723942369222641,0.07634368538856506,bert
7,Profesörün sekreteri günden güne zayıfladılar,condition_c,sg,sg,pl,0.10768766701221466,0.08661173284053802,bert
7,Profesörün sekreteri günden güne zayıfladı,condition_d,sg,sg,sg,0.12698158621788025,0.0848897248506546,bert
8,Veterinerlerin asistanı geceden önce uyudular,condition_a,sg,pl,pl,0.0825565904378891,0.10218361765146255,bert
8,Veterinerlerin asistanı geceden önce uyudu,condition_b,sg,pl,sg,0.10997740924358368,0.10469384491443634,bert
8,Veterinerin asistanı geceden önce uyudular,condition_c,sg,sg,pl,0.13135254383087158,0.09551031142473221,bert
8,Veterinerin asistanı geceden önce uyudu,condition_d,sg,sg,sg,0.1654997169971466,0.09688883274793625,bert
9,Yönetmenlerin masörü yorgun argın yattılar,condition_a,sg,pl,pl,0.12365005910396576,0.11990232765674591,bert
9,Yönetmenlerin masörü yorgun argın yattı,condition_b,sg,pl,sg,0.14502865076065063,0.10457015037536621,bert
9,Yönetmenin masörü yorgun argın yattılar,condition_c,sg,sg,pl,0.21017004549503326,0.11372990906238556,bert
9,Yönetmenin masörü yorgun argın yattı,condition_d,sg,sg,sg,0.2629764676094055,0.09684744477272034,bert
10,Teknisyenlerin eğitmeni olağanüstü hızlı koştular,condition_a,sg,pl,pl,0.25010138750076294,0.2857428789138794,bert
10,Teknisyenlerin eğitmeni olağanüstü hızlı koştu,condition_b,sg,pl,sg,0.2795763313770294,0.26994064450263977,bert
10,Teknisyenin eğitmeni olağanüstü hızlı koştular,condition_c,sg,sg,pl,0.2028190791606903,0.2968755066394806,bert
10,Teknisyenin eğitmeni olağanüstü hızlı koştu,condition_d,sg,sg,sg,0.2382073998451233,0.27051568031311035,bert
11,Turistlerin rehberi aç susuz dolaştılar,condition_a,sg,pl,pl,0.08292888104915619,0.021587539464235306,bert
11,Turistlerin rehberi aç susuz dolaştı,condition_b,sg,pl,sg,0.08218849450349808,0.025446448475122452,bert
11,Turistin rehberi aç susuz dolaştılar,condition_c,sg,sg,pl,0.08298373967409134,0.021241266280412674,bert
11,Turistin rehberi aç susuz dolaştı,condition_d,sg,sg,sg,0.0832137018442154,0.0264496561139822,bert
12,Zanlıların şahidi adliyeden çabucak çıktılar,condition_a,sg,pl,pl,0.025749819353222847,0.02415921725332737,bert
12,Zanlıların şahidi adliyeden çabucak çıktı,condition_b,sg,pl,sg,0.04035944491624832,0.03824082016944885,bert
12,Zanlının şahidi adliyeden çabucak çıktılar,condition_c,sg,sg,pl,0.0246246587485075,0.02541845664381981,bert
12,Zanlının şahidi adliyeden çabucak çıktı,condition_d,sg,sg,sg,0.03751397877931595,0.038829341530799866,bert
13,Bursiyerlerin kefili nedensiz yere kızdılar,condition_a,sg,pl,pl,0.15873712301254272,0.06631900370121002,bert
13,Bursiyerlerin kefili nedensiz yere kızdı,condition_b,sg,pl,sg,0.1745642125606537,0.04598013311624527,bert
13,Bursiyerin kefili nedensiz yere kızdılar,condition_c,sg,sg,pl,0.24864637851715088,0.06087522953748703,bert
13,Bursiyerin kefili nedensiz yere kızdı,condition_d,sg,sg,sg,0.280750572681427,0.04535272717475891,bert
14,Futbolcuların kaptanı etrafta amaçsızca gezdilar,condition_a,sg,pl,pl,0.12136804312467575,0.05144445225596428,bert
14,Futbolcuların kaptanı etrafta amaçsızca gezdi,condition_b,sg,pl,sg,0.0806119367480278,0.03632856532931328,bert
14,Futbolcunun kaptanı etrafta amaçsızca gezdilar,condition_c,sg,sg,pl,0.14855052530765533,0.05198799446225166,bert
14,Futbolcunun kaptanı etrafta amaçsızca gezdi,condition_d,sg,sg,sg,0.10027499496936798,0.03446647897362709,bert
15,Yazarların editörü biraz önce aradılar,condition_a,sg,pl,pl,0.10804197192192078,0.08736681938171387,bert
15,Yazarların editörü biraz önce aradı,condition_b,sg,pl,sg,0.08093876391649246,0.053826142102479935,bert
15,Yazarın editörü biraz önce aradılar,condition_c,sg,sg,pl,0.27479231357574463,0.08434653282165527,bert
15,Yazarın editörü biraz önce aradı,condition_d,sg,sg,sg,0.11252056807279587,0.050116557627916336,bert
16,Askerlerin berberi tamamen gereksizce bağırdılar,condition_a,sg,pl,pl,0.12014520913362503,0.061186082661151886,bert
16,Askerlerin berberi tamamen gereksizce bağırdı,condition_b,sg,pl,sg,0.14022618532180786,0.0740925520658493,bert
16,Askerin berberi tamamen gereksizce bağırdılar,condition_c,sg,sg,pl,0.3049871325492859,0.05547657608985901,bert
16,Askerin berberi tamamen gereksizce bağırdı,condition_d,sg,sg,sg,0.3611435294151306,0.06897880136966705,bert
17,Yarışmacıların koçu çok kibar davrandılar,condition_a,sg,pl,pl,0.0782373696565628,0.08590082824230194,bert
17,Yarışmacıların koçu çok kibar davrandı,condition_b,sg,pl,sg,0.0948304608464241,0.08311113715171814,bert
17,Yarışmacının koçu çok kibar davrandılar,condition_c,sg,sg,pl,0.1012038141489029,0.08225219696760178,bert
17,Yarışmacının koçu çok kibar davrandı,condition_d,sg,sg,sg,0.11865203827619553,0.08090441673994064,bert
