item,sentence,condition,head_num,attr_num,verb_num,verb,surprisal,model
3,Арка во двор в несущей конструкции здания была проделана,SG-SG-SG,SG,SG,SG,проделана,14.893871307373047,rubert
3,Арка во двор в несущей конструкции здания были проделаны,SG-SG-PL,SG,SG,PL,проделаны,15.383313179016113,rubert
3,Арка во дворы в несущей конструкции здания была проделана,SG-PL-SG,SG,PL,SG,проделана,14.867055892944336,rubert
3,Арка во дворы в несущей конструкции здания были проделаны,SG-PL-PL,SG,PL,PL,проделаны,15.313726425170898,rubert
3,Арки во двор в несущей конструкции здания была проделана,PL-SG-SG,PL,SG,SG,проделана,13.97599983215332,rubert
3,Арки во двор в несущей конструкции здания были проделаны,PL-SG-PL,PL,SG,PL,проделаны,16.113298416137695,rubert
3,Арки во дворы в несущей конструкции здания была проделана,PL-PL-SG,PL,PL,SG,проделана,13.92050552368164,rubert
3,Арки во дворы в несущей конструкции здания были проделаны,PL-PL-PL,PL,PL,PL,проделаны,16.468008041381836,rubert
4,Атака на крепость из-за стратегической ошибки полководца была безуспешной,SG-SG-SG,SG,SG,SG,безуспешной,16.891704559326172,rubert
4,Атака на крепость из-за стратегической ошибки полководца были безуспешными,SG-SG-PL,SG,SG,PL,безуспешными,18.261999130249023,rubert
4,Атака на крепости из-за стратегической ошибки полководца была безуспешной,SG-PL-SG,SG,PL,SG,безуспешной,16.543581008911133,rubert
4,Атака на крепости из-за стратегической ошибки полководца были безуспешными,SG-PL-PL,SG,PL,PL,безуспешными,18.138582229614258,rubert
4,Атаки на крепость из-за стратегической ошибки полководца была безуспешной,PL-SG-SG,PL,SG,SG,безуспешной,15.020811080932617,rubert
4,Атаки на крепость из-за стратегической ошибки полководца были безуспешными,PL-SG-PL,PL,SG,PL,безуспешными,18.983543395996094,rubert
4,Атаки на крепости из-за стратегической ошибки полководца была безуспешной,PL-PL-SG,PL,PL,SG,безуспешной,14.944828033447266,rubert
4,Атаки на крепости из-за стратегической ошибки полководца были безуспешными,PL-PL-PL,PL,PL,PL,безуспешными,18.994667053222656,rubert
5,Билет в музей во время уличной демонстрации был утерян,SG-SG-SG,SG,SG,SG,утерян,17.022220611572266,rubert
5,Билет в музей во время уличной демонстрации были утеряны,SG-SG-PL,SG,SG,PL,утеряны,17.223087310791016,rubert
5,Билет в музеи во время уличной демонстрации был утерян,SG-PL-SG,SG,PL,SG,утерян,17.731307983398438,rubert
5,Билет в музеи во время уличной демонстрации были утеряны,SG-PL-PL,SG,PL,PL,утеряны,18.032958984375,rubert
5,Билеты в музей во время уличной демонстрации был утерян,PL-SG-SG,PL,SG,SG,утерян,15.695508003234863,rubert
5,Билеты в музей во время уличной демонстрации были утеряны,PL-SG-PL,PL,SG,PL,утеряны,19.05447769165039,rubert
5,Билеты в музеи во время уличной демонстрации был утерян,PL-PL-SG,PL,PL,SG,утерян,15.402349472045898,rubert
5,Билеты в музеи во время уличной демонстрации были утеряны,PL-PL-PL,PL,PL,PL,утеряны,18.965526580810547,rubert
6,Взгляд на снимок из-под длинных опущенных ресниц был брошен,SG-SG-SG,SG,SG,SG,брошен,13.949041366577148,rubert
6,Взгляд на снимок из-под длинных опущенных ресниц были брошены,SG-SG-PL,SG,SG,PL,брошены,16.058408737182617,rubert
6,Взгляд на снимки из-под длинных опущенных ресниц был брошен,SG-PL-SG,SG,PL,SG,брошен,14.266362190246582,rubert
6,Взгляд на снимки из-под длинных опущенных ресниц были брошены,SG-PL-PL,SG,PL,PL,брошены,16.320222854614258,rubert
6,Взгляды на снимок из-под длинных опущенных ресниц был брошен,PL-SG-SG,PL,SG,SG,брошен,14.247136116027832,rubert
6,Взгляды на снимок из-под длинных опущенных ресниц были брошены,PL-SG-PL,PL,SG,PL,брошены,15.719441413879395,rubert
6,Взгляды на снимки из-под длинных опущенных ресниц был брошен,PL-PL-SG,PL,PL,SG,брошен,13.862265586853027,rubert
6,Взгляды на снимки из-под длинных опущенных ресниц были брошены,PL-PL-PL,PL,PL,PL,брошены,15.630552291870117,rubert
7,Возражение на упрёк без излишне бурных эмоций было принято,SG-SG-SG,SG,SG,SG,принято,15.371944427490234,rubert
7,Возражение на упрёк без излишне бурных эмоций были приняты,SG-SG-PL,SG,SG,PL,приняты,16.517372131347656,rubert
7,Возражение на упреки без излишне бурных эмоций было принято,SG-PL-SG,SG,PL,SG,принято,15.593701362609863,rubert
7,Возражение на упреки без излишне бурных эмоций были приняты,SG-PL-PL,SG,PL,PL,приняты,16.536659240722656,rubert
7,Возражения на упрёк без излишне бурных эмоций было принято,PL-SG-SG,PL,SG,SG,принято,15.197515487670898,rubert
7,Возражения на упрёк без излишне бурных эмоций были приняты,PL-SG-PL,PL,SG,PL,приняты,16.47510528564453,rubert
7,Возражения на упреки без излишне бурных эмоций было принято,PL-PL-SG,PL,PL,SG,принято,15.132102966308594,rubert
7,Возражения на упреки без излишне бурных эмоций были приняты,PL-PL-PL,PL,PL,PL,приняты,16.733386993408203,rubert
8,Выстрел в цель из-за сбитого прицела ружья был неточным,SG-SG-SG,SG,SG,SG,неточным,15.892972946166992,rubert
8,Выстрел в цель из-за сбитого прицела ружья были неточными,SG-SG-PL,SG,SG,PL,неточными,16.758670806884766,rubert
8,Выстрел в цели из-за сбитого прицела ружья был неточным,SG-PL-SG,SG,PL,SG,неточным,15.69784164428711,rubert
8,Выстрел в цели из-за сбитого прицела ружья были неточными,SG-PL-PL,SG,PL,PL,неточными,16.484888076782227,rubert
8,Выстрелы в цель из-за сбитого прицела ружья был неточным,PL-SG-SG,PL,SG,SG,неточным,13.600798606872559,rubert
8,Выстрелы в цель из-за сбитого прицела ружья были неточными,PL-SG-PL,PL,SG,PL,неточными,17.95641326904297,rubert
8,Выстрелы в цели из-за сбитого прицела ружья был неточным,PL-PL-SG,PL,PL,SG,неточным,13.664649963378906,rubert
8,Выстрелы в цели из-за сбитого прицела ружья были неточными,PL-PL-PL,PL,PL,PL,неточными,17.71550750732422,rubert
9,Дорога через лес для снабжения людей провизией была проложена,SG-SG-SG,SG,SG,SG,проложена,14.319210052490234,rubert
9,Дорога через лес для снабжения людей провизией были проложены,SG-SG-PL,SG,SG,PL,проложены,14.502120971679688,rubert
9,Дорога через леса для снабжения людей провизией была проложена,SG-PL-SG,SG,PL,SG,проложена,14.352298736572266,rubert
9,Дорога через леса для снабжения людей провизией были проложены,SG-PL-PL,SG,PL,PL,проложены,14.431009292602539,rubert
9,Дороги через лес для снабжения людей провизией была проложена,PL-SG-SG,PL,SG,SG,проложена,12.534873008728027,rubert
9,Дороги через лес для снабжения людей провизией были проложены,PL-SG-PL,PL,SG,PL,проложены,16.093883514404297,rubert
9,Дороги через леса для снабжения людей провизией была проложена,PL-PL-SG,PL,PL,SG,проложена,12.52686595916748,rubert
9,Дороги через леса для снабжения людей провизией были проложены,PL-PL-PL,PL,PL,PL,проложены,16.160110473632812,rubert
10,Жалоба на боль из-за нарушения дыхания пациента была тихой,SG-SG-SG,SG,SG,SG,тихой,14.192856788635254,rubert
10,Жалоба на боль из-за нарушения дыхания пациента были тихими,SG-SG-PL,SG,SG,PL,тихими,15.339751243591309,rubert
10,Жалоба на боли из-за нарушения дыхания пациента была тихой,SG-PL-SG,SG,PL,SG,тихой,14.157912254333496,rubert
10,Жалоба на боли из-за нарушения дыхания пациента были тихими,SG-PL-PL,SG,PL,PL,тихими,15.232658386230469,rubert
10,Жалобы на боль из-за нарушения дыхания пациента была тихой,PL-SG-SG,PL,SG,SG,тихой,14.026538848876953,rubert
10,Жалобы на боль из-за нарушения дыхания пациента были тихими,PL-SG-PL,PL,SG,PL,тихими,15.90837287902832,rubert
10,Жалобы на боли из-за нарушения дыхания пациента была тихой,PL-PL-SG,PL,PL,SG,тихой,13.892053604125977,rubert
10,Жалобы на боли из-за нарушения дыхания пациента были тихими,PL-PL-PL,PL,PL,PL,тихими,15.762113571166992,rubert
11,История про убийство в присутствии маленьких детей была рассказана,SG-SG-SG,SG,SG,SG,рассказана,13.802507400512695,rubert
11,История про убийство в присутствии маленьких детей были рассказаны,SG-SG-PL,SG,SG,PL,рассказаны,15.143692970275879,rubert
11,История про убийства в присутствии маленьких детей была рассказана,SG-PL-SG,SG,PL,SG,рассказана,13.808714866638184,rubert
11,История про убийства в присутствии маленьких детей были рассказаны,SG-PL-PL,SG,PL,PL,рассказаны,14.913556098937988,rubert
11,Истории про убийство в присутствии маленьких детей была рассказана,PL-SG-SG,PL,SG,SG,рассказана,12.772825241088867,rubert
11,Истории про убийство в присутствии маленьких детей были рассказаны,PL-SG-PL,PL,SG,PL,рассказаны,16.43297576904297,rubert
11,Истории про убийства в присутствии маленьких детей была рассказана,PL-PL-SG,PL,PL,SG,рассказана,12.839111328125,rubert
11,Истории про убийства в присутствии маленьких детей были рассказаны,PL-PL-PL,PL,PL,PL,рассказаны,16.448837280273438,rubert
12,Кредит на участок из-за высокой стоимости земли был долгосрочным,SG-SG-SG,SG,SG,SG,долгосрочным,16.14457130432129,rubert
12,Кредит на участок из-за высокой стоимости земли были долгосрочными,SG-SG-PL,SG,SG,PL,долгосрочными,15.657282829284668,rubert
12,Кредит на участки из-за высокой стоимости земли был долгосрочным,SG-PL-SG,SG,PL,SG,долгосрочным,14.571428298950195,rubert
12,Кредит на участки из-за высокой стоимости земли были долгосрочными,SG-PL-PL,SG,PL,PL,долгосрочными,15.818411827087402,rubert
12,Кредиты на участок из-за высокой стоимости земли был долгосрочным,PL-SG-SG,PL,SG,SG,долгосрочным,12.631853103637695,rubert
12,Кредиты на участок из-за высокой стоимости земли были долгосрочными,PL-SG-PL,PL,SG,PL,долгосрочными,16.776853561401367,rubert
12,Кредиты на участки из-за высокой стоимости земли был долгосрочным,PL-PL-SG,PL,PL,SG,долгосрочным,12.928130149841309,rubert
12,Кредиты на участки из-за высокой стоимости земли были долгосрочными,PL-PL-PL,PL,PL,PL,долгосрочными,16.87476921081543,rubert
13,Кружево на наряд в вышитый шелковый мешочек было упаковано,SG-SG-SG,SG,SG,SG,упаковано,13.84968376159668,rubert
13,Кружево на наряд в вышитый шелковый мешочек были упакованы,SG-SG-PL,SG,SG,PL,упакованы,14.446792602539062,rubert
13,Кружево на наряды в вышитый шелковый мешочек было упаковано,SG-PL-SG,SG,PL,SG,упаковано,14.160207748413086,rubert
13,Кружево на наряды в вышитый шелковый мешочек были упакованы,SG-PL-PL,SG,PL,PL,упакованы,14.388809204101562,rubert
13,Кружева на наряд в вышитый шелковый мешочек было упаковано,PL-SG-SG,PL,SG,SG,упаковано,13.918397903442383,rubert
13,Кружева на наряд в вышитый шелковый мешочек были упакованы,PL-SG-PL,PL,SG,PL,упакованы,15.02177619934082,rubert
13,Кружева на наряды в вышитый шелковый мешочек было упаковано,PL-PL-SG,PL,PL,SG,упаковано,14.014442443847656,rubert
13,Кружева на наряды в вышитый шелковый мешочек были упакованы,PL-PL-PL,PL,PL,PL,упакованы,15.07751750946045,rubert
14,Легенда про замок в старинной летописи графства была записана,SG-SG-SG,SG,SG,SG,записана,14.547935485839844,rubert
14,Легенда про замок в старинной летописи графства были записаны,SG-SG-PL,SG,SG,PL,записаны,16.0949764251709,rubert
14,Легенда про замки в старинной летописи графства была записана,SG-PL-SG,SG,PL,SG,записана,13.827462196350098,rubert
14,Легенда про замки в старинной летописи графства были записаны,SG-PL-PL,SG,PL,PL,записаны,16.120882034301758,rubert
14,Легенды про замок в старинной летописи графства была записана,PL-SG-SG,PL,SG,SG,записана,15.51282787322998,rubert
14,Легенды про замок в старинной летописи графства были записаны,PL-SG-PL,PL,SG,PL,записаны,16.465545654296875,rubert
14,Легенды про замки в старинной летописи графства была записана,PL-PL-SG,PL,PL,SG,записана,16.131309509277344,rubert
14,Легенды про замки в старинной летописи графства были записаны,PL-PL-PL,PL,PL,PL,записаны,16.228151321411133,rubert
15,Лестница в подвал из-за отсутствия свободного места была крутой,SG-SG-SG,SG,SG,SG,крутой,16.092222213745117,rubert
15,Лестница в подвал из-за отсутствия свободного места были крутыми,SG-SG-PL,SG,SG,PL,крутыми,15.722565650939941,rubert
15,Лестница в подвалы из-за отсутствия свободного места была крутой,SG-PL-SG,SG,PL,SG,крутой,15.999528884887695,rubert
15,Лестница в подвалы из-за отсутствия свободного места были крутыми,SG-PL-PL,SG,PL,PL,крутыми,16.202926635742188,rubert
15,Лестницы в подвал из-за отсутствия свободного места была крутой,PL-SG-SG,PL,SG,SG,крутой,14.589014053344727,rubert
15,Лестницы в подвал из-за отсутствия свободного места были крутыми,PL-SG-PL,PL,SG,PL,крутыми,17.29802703857422,rubert
15,Лестницы в подвалы из-за отсутствия свободного места была крутой,PL-PL-SG,PL,PL,SG,крутой,14.825372695922852,rubert
15,Лестницы в подвалы из-за отсутствия свободного места были крутыми,PL-PL-PL,PL,PL,PL,крутыми,18.090415954589844,rubert
16,Мост через овраг после окончания военных действий был возведен,SG-SG-SG,SG,SG,SG,возведен,18.039321899414062,rubert
16,Мост через овраг после окончания военных действий были возведены,SG-SG-PL,SG,SG,PL,возведены,16.9661865234375,rubert
16,Мост через овраги после окончания военных действий был возведен,SG-PL-SG,SG,PL,SG,возведен,18.15066146850586,rubert
16,Мост через овраги после окончания военных действий были возведены,SG-PL-PL,SG,PL,PL,возведены,17.808517456054688,rubert
16,Мосты через овраг после окончания военных действий был возведен,PL-SG-SG,PL,SG,SG,возведен,15.657329559326172,rubert
16,Мосты через овраг после окончания военных действий были возведены,PL-SG-PL,PL,SG,PL,возведены,18.720401763916016,rubert
16,Мосты через овраги после окончания военных действий был возведен,PL-PL-SG,PL,PL,SG,возведен,15.902095794677734,rubert
16,Мосты через овраги после окончания военных действий были возведены,PL-PL-PL,PL,PL,PL,возведены,18.787750244140625,rubert
17,Налог на доход из-за смены политического курса был повышен,SG-SG-SG,SG,SG,SG,повышен,17.933931350708008,rubert
17,Налог на доход из-за смены политического курса были повышены,SG-SG-PL,SG,SG,PL,повышены,18.48114013671875,rubert
17,Налог на доходы из-за смены политического курса был повышен,SG-PL-SG,SG,PL,SG,повышен,17.525054931640625,rubert
17,Налог на доходы из-за смены политического курса были повышены,SG-PL-PL,SG,PL,PL,повышены,18.885120391845703,rubert
17,Налоги на доход из-за смены политического курса был повышен,PL-SG-SG,PL,SG,SG,повышен,14.69406509399414,rubert
17,Налоги на доход из-за смены политического курса были повышены,PL-SG-PL,PL,SG,PL,повышены,18.604036331176758,rubert
17,Налоги на доходы из-за смены политического курса был повышен,PL-PL-SG,PL,PL,SG,повышен,14.57296085357666,rubert
17,Налоги на доходы из-за смены политического курса были повышены,PL-PL-PL,PL,PL,PL,повышены,18.907291412353516,rubert
18,Нападение на банк с применением холодного оружия было совершено,SG-SG-SG,SG,SG,SG,совершено,16.750978469848633,rubert
18,Нападение на банк с применением холодного оружия были совершены,SG-SG-PL,SG,SG,PL,совершены,18.03533935546875,rubert
18,Нападение на банки с применением холодного оружия было совершено,SG-PL-SG,SG,PL,SG,совершено,16.34210205078125,rubert
18,Нападение на банки с применением холодного оружия были совершены,SG-PL-PL,SG,PL,PL,совершены,17.29244613647461,rubert
18,Нападения на банк с применением холодного оружия было совершено,PL-SG-SG,PL,SG,SG,совершено,16.476436614990234,rubert
18,Нападения на банк с применением холодного оружия были совершены,PL-SG-PL,PL,SG,PL,совершены,17.56230926513672,rubert
18,Нападения на банки с применением холодного оружия было совершено,PL-PL-SG,PL,PL,SG,совершено,15.773913383483887,rubert
18,Нападения на банки с применением холодного оружия были совершены,PL-PL-PL,PL,PL,PL,совершены,17.344263076782227,rubert
19,Окно в сад из-за сильного холодного ветра было закрыто,SG-SG-SG,SG,SG,SG,закрыто,16.829553604125977,rubert
19,Окно в сад из-за сильного холодного ветра были закрыты,SG-SG-PL,SG,SG,PL,закрыты,17.547439575195312,rubert
19,Окно в сады из-за сильного холодного ветра было закрыто,SG-PL-SG,SG,PL,SG,закрыто,16.960712432861328,rubert
19,Окно в сады из-за сильного холодного ветра были закрыты,SG-PL-PL,SG,PL,PL,закрыты,17.597702026367188,rubert
19,Окна в сад из-за сильного холодного ветра было закрыто,PL-SG-SG,PL,SG,SG,закрыто,14.740195274353027,rubert
19,Окна в сад из-за сильного холодного ветра были закрыты,PL-SG-PL,PL,SG,PL,закрыты,19.416475296020508,rubert
19,Окна в сады из-за сильного холодного ветра было закрыто,PL-PL-SG,PL,PL,SG,закрыто,15.241618156433105,rubert
19,Окна в сады из-за сильного холодного ветра были закрыты,PL-PL-PL,PL,PL,PL,закрыты,19.839860916137695,rubert
20,Ответ на вопрос из-за недостаточного знания материала был неверным,SG-SG-SG,SG,SG,SG,неверным,15.488518714904785,rubert
20,Ответ на вопрос из-за недостаточного знания материала были неверными,SG-SG-PL,SG,SG,PL,неверными,15.184549331665039,rubert
20,Ответ на вопросы из-за недостаточного знания материала был неверным,SG-PL-SG,SG,PL,SG,неверным,16.045499801635742,rubert
20,Ответ на вопросы из-за недостаточного знания материала были неверными,SG-PL-PL,SG,PL,PL,неверными,16.24921989440918,rubert
20,Ответы на вопрос из-за недостаточного знания материала был неверным,PL-SG-SG,PL,SG,SG,неверным,14.925763130187988,rubert
20,Ответы на вопрос из-за недостаточного знания материала были неверными,PL-SG-PL,PL,SG,PL,неверными,16.221426010131836,rubert
20,Ответы на вопросы из-за недостаточного знания материала был неверным,PL-PL-SG,PL,PL,SG,неверным,15.215434074401855,rubert
20,Ответы на вопросы из-за недостаточного знания материала были неверными,PL-PL-PL,PL,PL,PL,неверными,16.72689437866211,rubert
21,Очередь в театр из-за большого наплыва туристов была бесконечной,SG-SG-SG,SG,SG,SG,бесконечной,17.009281158447266,rubert
21,Очередь в театр из-за большого наплыва туристов были бесконечными,SG-SG-PL,SG,SG,PL,бесконечными,17.68573570251465,rubert
21,Очередь в театры из-за большого наплыва туристов была бесконечной,SG-PL-SG,SG,PL,SG,бесконечной,16.879226684570312,rubert
21,Очередь в театры из-за большого наплыва туристов были бесконечными,SG-PL-PL,SG,PL,PL,бесконечными,17.796878814697266,rubert
21,Очереди в театр из-за большого наплыва туристов была бесконечной,PL-SG-SG,PL,SG,SG,бесконечной,14.7955961227417,rubert
21,Очереди в театр из-за большого наплыва туристов были бесконечными,PL-SG-PL,PL,SG,PL,бесконечными,18.731924057006836,rubert
21,Очереди в театры из-за большого наплыва туристов была бесконечной,PL-PL-SG,PL,PL,SG,бесконечной,15.018027305603027,rubert
21,Очереди в театры из-за большого наплыва туристов были бесконечными,PL-PL-PL,PL,PL,PL,бесконечными,18.77364158630371,rubert
22,Переправа через ручей из-за тяжёлых погодных условий была опасной,SG-SG-SG,SG,SG,SG,опасной,13.876194953918457,rubert
22,Переправа через ручей из-за тяжёлых погодных условий были опасными,SG-SG-PL,SG,SG,PL,опасными,14.045607566833496,rubert
22,Переправа через ручьи из-за тяжёлых погодных условий была опасной,SG-PL-SG,SG,PL,SG,опасной,14.317164421081543,rubert
22,Переправа через ручьи из-за тяжёлых погодных условий были опасными,SG-PL-PL,SG,PL,PL,опасными,15.390963554382324,rubert
22,Переправы через ручей из-за тяжёлых погодных условий была опасной,PL-SG-SG,PL,SG,SG,опасной,13.542620658874512,rubert
22,Переправы через ручей из-за тяжёлых погодных условий были опасными,PL-SG-PL,PL,SG,PL,опасными,15.198883056640625,rubert
22,Переправы через ручьи из-за тяжёлых погодных условий была опасной,PL-PL-SG,PL,PL,SG,опасной,15.137409210205078,rubert
22,Переправы через ручьи из-за тяжёлых погодных условий были опасными,PL-PL-PL,PL,PL,PL,опасными,17.213659286499023,rubert
23,Песня про поезд для большинства отставных машинистов была грустной,SG-SG-SG,SG,SG,SG,грустной,12.579753875732422,rubert
23,Песня про поезд для большинства отставных машинистов были грустными,SG-SG-PL,SG,SG,PL,грустными,13.227899551391602,rubert
23,Песня про поезда для большинства отставных машинистов была грустной,SG-PL-SG,SG,PL,SG,грустной,12.690298080444336,rubert
23,Песня про поезда для большинства отставных машинистов были грустными,SG-PL-PL,SG,PL,PL,грустными,12.723468780517578,rubert
23,Песни про поезд для большинства отставных машинистов была грустной,PL-SG-SG,PL,SG,SG,грустной,12.68820571899414,rubert
23,Песни про поезд для большинства отставных машинистов были грустными,PL-SG-PL,PL,SG,PL,грустными,15.601005554199219,rubert
23,Песни про поезда для большинства отставных машинистов была грустной,PL-PL-SG,PL,PL,SG,грустной,12.900075912475586,rubert
23,Песни про поезда для большинства отставных машинистов были грустными,PL-PL-PL,PL,PL,PL,грустными,15.455512046813965,rubert
24,Письмо про поход из маленького сибирского посёлка было отправлено,SG-SG-SG,SG,SG,SG,отправлено,15.050535202026367,rubert
24,Письмо про поход из маленького сибирского посёлка были отправлены,SG-SG-PL,SG,SG,PL,отправлены,16.57097625732422,rubert
24,Письмо про походы из маленького сибирского посёлка было отправлено,SG-PL-SG,SG,PL,SG,отправлено,15.106988906860352,rubert
24,Письмо про походы из маленького сибирского посёлка были отправлены,SG-PL-PL,SG,PL,PL,отправлены,17.034914016723633,rubert
24,Письма про поход из маленького сибирского посёлка было отправлено,PL-SG-SG,PL,SG,SG,отправлено,14.547507286071777,rubert
24,Письма про поход из маленького сибирского посёлка были отправлены,PL-SG-PL,PL,SG,PL,отправлены,16.913753509521484,rubert
24,Письма про походы из маленького сибирского посёлка было отправлено,PL-PL-SG,PL,PL,SG,отправлено,14.773094177246094,rubert
24,Письма про походы из маленького сибирского посёлка были отправлены,PL-PL-PL,PL,PL,PL,отправлены,16.83318519592285,rubert
25,План на выходной из-за визита назойливых родственников был разрушен,SG-SG-SG,SG,SG,SG,разрушен,16.402769088745117,rubert
25,План на выходной из-за визита назойливых родственников были разрушены,SG-SG-PL,SG,SG,PL,разрушены,15.947710037231445,rubert
25,План на выходные из-за визита назойливых родственников был разрушен,SG-PL-SG,SG,PL,SG,разрушен,17.073375701904297,rubert
25,План на выходные из-за визита назойливых родственников были разрушены,SG-PL-PL,SG,PL,PL,разрушены,16.582916259765625,rubert
25,Планы на выходной из-за визита назойливых родственников был разрушен,PL-SG-SG,PL,SG,SG,разрушен,14.80822467803955,rubert
25,Планы на выходной из-за визита назойливых родственников были разрушены,PL-SG-PL,PL,SG,PL,разрушены,17.599720001220703,rubert
25,Планы на выходные из-за визита назойливых родственников был разрушен,PL-PL-SG,PL,PL,SG,разрушен,15.245540618896484,rubert
25,Планы на выходные из-за визита назойливых родственников были разрушены,PL-PL-PL,PL,PL,PL,разрушены,17.806013107299805,rubert
26,Поездка на остров для молодых влюблённых студентов была незабываемой,SG-SG-SG,SG,SG,SG,незабываемой,15.813314437866211,rubert
26,Поездка на остров для молодых влюблённых студентов были незабываемыми,SG-SG-PL,SG,SG,PL,незабываемыми,17.391361236572266,rubert
26,Поездка на острова для молодых влюблённых студентов была незабываемой,SG-PL-SG,SG,PL,SG,незабываемой,15.987451553344727,rubert
26,Поездка на острова для молодых влюблённых студентов были незабываемыми,SG-PL-PL,SG,PL,PL,незабываемыми,17.979482650756836,rubert
26,Поездки на остров для молодых влюблённых студентов была незабываемой,PL-SG-SG,PL,SG,SG,незабываемой,15.769424438476562,rubert
26,Поездки на остров для молодых влюблённых студентов были незабываемыми,PL-SG-PL,PL,SG,PL,незабываемыми,17.9909725189209,rubert
26,Поездки на острова для молодых влюблённых студентов была незабываемой,PL-PL-SG,PL,PL,SG,незабываемой,15.929760932922363,rubert
26,Поездки на острова для молодых влюблённых студентов были незабываемыми,PL-PL-PL,PL,PL,PL,незабываемыми,17.979524612426758,rubert
27,Полёт через пролив из-за усилившегося северного ветра был запрещён,SG-SG-SG,SG,SG,SG,запрещён,19.401222229003906,rubert
27,Полёт через пролив из-за усилившегося северного ветра были запрещены,SG-SG-PL,SG,SG,PL,запрещены,19.132230758666992,rubert
27,Полёт через проливы из-за усилившегося северного ветра был запрещён,SG-PL-SG,SG,PL,SG,запрещён,19.598142623901367,rubert
27,Полёт через проливы из-за усилившегося северного ветра были запрещены,SG-PL-PL,SG,PL,PL,запрещены,19.07791519165039,rubert
27,Полёты через пролив из-за усилившегося северного ветра был запрещён,PL-SG-SG,PL,SG,SG,запрещён,19.392040252685547,rubert
27,Полёты через пролив из-за усилившегося северного ветра были запрещены,PL-SG-PL,PL,SG,PL,запрещены,21.99932289123535,rubert
27,Полёты через проливы из-за усилившегося северного ветра был запрещён,PL-PL-SG,PL,PL,SG,запрещён,19.088603973388672,rubert
27,Полёты через проливы из-за усилившегося северного ветра были запрещены,PL-PL-PL,PL,PL,PL,запрещены,21.530826568603516,rubert
28,Прогулка через парк для ценителей ландшафтного дизайна была приятной,SG-SG-SG,SG,SG,SG,приятной,14.284175872802734,rubert
28,Прогулка через парк для ценителей ландшафтного дизайна были приятными,SG-SG-PL,SG,SG,PL,приятными,15.199151992797852,rubert
28,Прогулка через парки для ценителей ландшафтного дизайна была приятной,SG-PL-SG,SG,PL,SG,приятной,14.463603973388672,rubert
28,Прогулка через парки для ценителей ландшафтного дизайна были приятными,SG-PL-PL,SG,PL,PL,приятными,15.114279747009277,rubert
28,Прогулки через парк для ценителей ландшафтного дизайна была приятной,PL-SG-SG,PL,SG,SG,приятной,13.26313591003418,rubert
28,Прогулки через парк для ценителей ландшафтного дизайна были приятными,PL-SG-PL,PL,SG,PL,приятными,15.436893463134766,rubert
28,Прогулки через парки для ценителей ландшафтного дизайна была приятной,PL-PL-SG,PL,PL,SG,приятной,12.545169830322266,rubert
28,Прогулки через парки для ценителей ландшафтного дизайна были приятными,PL-PL-PL,PL,PL,PL,приятными,15.566047668457031,rubert
29,Прыжок через костёр для обладателей коротких ног был рискованным,SG-SG-SG,SG,SG,SG,рискованным,14.671974182128906,rubert
29,Прыжок через костёр для обладателей коротких ног были рискованными,SG-SG-PL,SG,SG,PL,рискованными,15.479512214660645,rubert
